#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
30836	44831	34250	69312	60354	Dmel_CG10109	Dmel_CG3738	L	Cks30A	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CDI2|CG3738|Cks|DmCks1|Dmel\CG3738|U40077|fs(2)rem|rem	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
30837	44831	40257	69312	65515	Dmel_CG10109	Dmel_CG5274	L	CG5274	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Dmel\CG5274	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
32854	34075	43852	60212	68671	Dmel_CG14534	Dmel_CG6741	TwdlE	a	CG14534|Dmel\CG14534	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
33783	48317	43852	71315	68671	Dmel_CG1856	Dmel_CG6741	ttk	a	0037/17|0250/25|0438/31|0702/07|1049/07|1119/04|1184/16|1209/05|1209/10|1260/10|1281/04|1325/15|1372/08|1396/14|1418/06|3540|5125|5311|CG11558|CG1856|Dmel\CG1856|E(yan)100D|FTZ-F2|TTK69|TTK88|TTKA|anon-EST:Liang-2.9|clone 2.9|ftzf2/ttk|l(3)02667|l(3)j2A1|l(3)j7B8|osn|oss|ovs|tramtrak|ttk/FTZ-F2|ttkp69|twk	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
34145	30975	43852	57548	68671	Dmel_CG3114	Dmel_CG6741	ewg	a	CG3114|Dmel\CG3114|EC3|EG:BACR37P7.7|NRF-1|l(1)1Ag|l(1)DA659|l(1)EC3|l(1)EC3f|l(1)VA720|l[EC3]	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
34575	31605	43852	58091	68671	Dmel_CG4094	Dmel_CG6741	l(1)G0255	a	CG 4094|CG4094|Dmel\CG4094|FBgn0029889|l(1)G0290	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
38020	43710	43852	68554	68671	Dmel_CG11337	Dmel_CG6741	CG11337	a	Dmel\CG11337	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39440	30977	43852	57550	68671	Dmel_CG12470	Dmel_CG6741	CG12470	a	Dmel\CG12470|EG:BACR37P7.5|NEST:bs07e10|NEST:bs17h08	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42185	45250	43852	69540	68671	Dmel_CG14813	Dmel_CG6741	deltaCOP	a	63B12S|ARCN1|Arch|CG14813|DM63B12S|Delta COP|Dmel\CG14813|EG:63B12.10|ESTS:63B12S|anon-WO03040301.246|delta-Cop|l(1)G0051|l(1)G0301|l(1)G0450	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42403	38490	43852	63970	68671	Dmel_CG14996	Dmel_CG6741	Chd64	a	CG-14996|CG14996|CT34849|Dmel\CG14996|anon-EST:Liang-1.80|clone 1.80	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49271	43852	42761	68671	67703	Dmel_CG6741	Dmel_CG6779	a	RpS3	Arc|CG13505|CG6741|Dmel\CG6741|bran	6779|CG6779|DmRpS3|Dmel\CG6779|M|M(3)124|M(3)95A|M(3)B|M(3)B2|M(3)Fla|M(3)w|M(3R)w|M95A|M[[w]]|Mw|RS3|Rp S3|S3|X72921|chr3R:19185518..19185701|dS3	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49272	43852	31834	68671	58290	Dmel_CG6741	Dmel_CG7041	a	HP1b	Arc|CG13505|CG6741|Dmel\CG6741|bran	CG7041|Dmel\CG7041|HP1	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
672189	41086	44831	66254	69312	Dmel_CG11990	Dmel_CG10109	hyx	L	CG11990|Cdc73|Dmel\CG11990|hyx/CDC73	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Synthetic Rescue	genetic	Zhang JH (2012)	22297294	7227	7227	Low Throughput	-	-	-	figure 1. rescue the eye phenotype.	-	BIOGRID
672192	41086	44831	66254	69312	Dmel_CG11990	Dmel_CG10109	hyx	L	CG11990|Cdc73|Dmel\CG11990|hyx/CDC73	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Synthetic Haploinsufficiency	genetic	Zhang JH (2012)	22297294	7227	7227	Low Throughput	-	-	-	figure 1. triple mutant had NOG eye phenotypes (notch and dysplastic overgrowth).	-	BIOGRID
2299077	31293	44831	57823	69312	Dmel_CG3936	Dmel_CG10109	N	L	1.1|16-178|16-55|Ax|CG3936|CT13012|Chp|Co|Dmel\CG3936|EG:140G11.1|EG:163A10.2|NECD|NICD|RICN|anon-EST:Liang-1.12|clone 1.12|dNotch|fa|l(1)3Cb|l(1)Ax|l(1)N|n[fah]|nd|notch|shd|spl|swb	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Phenotypic Suppression	genetic	Chern JJ (2002)	12163404	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2299636	31805	44835	58264	69315	Dmel_CG12108	Dmel_CG9369	Ppt1	m	CG12108|DmPpt1|Dmel\CG12108	CG9369|Dmel\CG9369|Min	Phenotypic Suppression	genetic	Buff H (2007)	17409080	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
