GENE_NAME,V1884,N58,V630,N60,V1297,NV1428,N82,V940,V2092,V624,V777,V553,V1441,V1921,V538,V1857,V456,NV912,V2089,V1823,V2241,N54,V655,V2110,V839,V125,N83,V637,V712,NV911,V2133,V1742,V1591,V108,V1874,V221,V148,N70,N87,V574,V359,V1337,V883,V1592,V1422,V1708,V1505,V18,V1788,V1776,N84,V1800,V716,N86,V888,V1321,V1279,V1528,V344,N85,V1699,V1456,V1394,V714,V67,V1090,V1860,V406,V1834,V1048,V806,V513,V1565,V1920
MIR4802,2,1,11,1,3,6,3,3,0,13,0,22,4,1,3,2,2,3,0,4,4,3,2,0,5,6,1,0,0,4,7,7,1,5,1,1,1,0,0,4,3,3,2,0,2,2,0,5,0,3,3,3,0,2,3,4,4,2,0,3,2,9,4,2,1,0,0,4,11,2,3,1,4,0
MIR4751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR378A,6,3,5,3,2,4,4,1,1,10,5,12,5,4,1,9,4,1,4,2,4,9,4,7,1,7,1,6,12,3,4,5,0,7,9,3,4,1,9,3,8,5,2,11,5,1,2,2,6,10,3,5,0,0,4,5,10,0,1,2,5,4,5,7,6,7,5,8,11,2,11,1,7,10
MIR578,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
MIR32,22,10,9,16,14,14,11,13,4,4,10,22,1,11,13,6,12,10,2,4,11,12,5,6,28,16,13,3,12,4,0,8,10,15,14,5,6,10,8,4,8,11,8,10,24,18,11,10,5,4,14,5,9,6,13,6,12,16,11,5,17,9,10,12,7,7,8,16,13,8,5,11,10,13
MIR4487,0,3,0,4,0,0,0,0,0,0,0,10,0,2,0,1,0,0,0,0,0,1,5,0,0,0,0,0,18,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,1,1,2,0,0,0,10,0,0,0,0,4,0,0,3,0,1
MIR5090,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1
MIR8081,2,0,0,1,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,3,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3
MIR4292,31,31,50,21,19,26,7,48,18,34,6,43,33,17,25,14,10,27,42,18,20,29,14,14,32,41,30,11,11,23,2,42,43,12,17,12,34,21,21,34,45,21,40,20,16,23,22,52,32,22,21,30,21,39,59,28,21,12,34,32,57,34,18,12,27,36,28,46,20,40,42,21,32,20
MIR1184-2,19,34,13,31,3,21,13,1,25,16,16,11,19,14,20,7,11,25,41,1,21,19,26,28,13,32,16,4,12,26,7,49,22,10,20,10,24,20,37,23,35,14,1,12,11,26,26,15,21,13,33,47,19,11,38,20,36,25,32,34,15,14,25,13,30,11,20,11,2,0,2,13,31,23
