circRNA_ID,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
hsa_circ_0006354,27,21,29,18,19,22,28,15,13,3,14,26,17,24,34,8,29,24,27,9,61,2,16,19,12,22,16,23,17,19,29,25,4,23,11,19,2,17,28,36,15,46,2,40,7,16,17,26,14,27,15,48,31,28,25,27,24,20,33,13,18,8,7,15,26,24
hsa_circ_0000061,60,45,186,43,60,95,74,44,85,5,51,15,55,159,51,28,41,66,94,37,260,12,26,63,71,72,20,16,45,40,30,56,23,34,133,48,52,47,63,51,29,80,5,130,31,61,18,25,14,78,147,166,186,31,20,63,37,18,26,69,24,83,75,39,34,66
hsa_circ_0012152,68,108,97,121,109,397,166,98,214,51,103,203,179,284,198,15,108,213,144,206,277,46,123,179,136,121,83,49,139,92,150,66,52,96,48,52,67,214,144,148,95,158,23,622,80,167,45,36,16,299,349,784,575,162,90,217,99,50,105,250,89,274,82,40,100,44
hsa_circ_0000117,40,30,102,35,30,69,48,23,67,12,26,36,60,78,41,8,35,42,52,33,183,19,26,53,25,45,26,25,21,50,31,25,15,51,42,30,23,45,42,28,12,38,3,129,38,39,22,30,18,74,60,59,91,28,20,37,54,8,48,42,38,41,28,35,39,60
hsa_circ_0000118,151,105,380,152,170,185,195,92,174,38,116,48,202,406,118,27,116,130,204,106,392,76,99,163,98,183,107,82,131,163,126,114,75,134,140,104,110,190,116,72,85,165,13,522,128,141,60,83,66,207,233,194,235,94,76,109,127,57,135,172,111,110,104,146,97,217
hsa_circ_0014606,24,17,28,26,17,37,31,15,22,8,41,21,66,69,15,17,28,61,26,27,173,9,39,33,19,33,29,21,28,23,41,35,17,21,25,38,24,19,34,25,27,37,5,62,14,35,5,16,8,74,40,92,76,26,18,34,24,27,45,37,24,27,44,21,38,56
hsa_circ_0000175,34,43,100,29,27,67,45,17,38,4,32,30,52,69,22,21,33,36,58,41,144,47,13,44,41,32,25,28,27,35,27,23,22,35,53,39,18,94,33,45,30,37,6,60,18,22,20,7,13,40,62,81,70,39,30,30,23,21,31,45,26,55,41,30,39,51
hsa_circ_0007292,40,29,32,41,36,40,53,69,38,7,45,14,31,197,17,4,26,57,30,54,276,27,45,30,40,42,28,44,25,67,27,18,33,17,20,40,29,35,40,18,37,75,5,49,24,26,22,15,14,34,56,83,115,28,27,37,50,24,43,44,20,21,28,28,16,47
hsa_circ_0020028,21,21,21,19,15,37,14,19,37,3,15,12,25,49,21,3,23,26,23,12,54,12,14,26,20,21,17,22,19,18,17,11,12,27,16,9,9,19,19,4,24,32,2,94,10,21,10,17,9,25,40,21,26,22,11,25,11,5,17,33,17,16,23,12,20,28
hsa_circ_0002484,28,28,118,40,24,92,53,25,66,8,35,14,35,76,20,3,38,30,38,18,180,20,31,36,19,33,26,22,34,26,42,25,11,26,57,40,29,96,38,33,185,680,3,172,21,29,18,29,19,14,59,101,55,47,15,39,25,9,39,56,26,35,28,15,34,41
hsa_circ_0000417,40,6,65,27,22,50,69,15,27,3,50,15,58,74,18,4,25,13,55,33,59,14,40,24,11,64,14,10,38,26,33,24,12,23,22,34,21,74,55,23,11,38,2,247,34,46,16,29,11,30,55,18,20,10,19,16,27,15,26,21,38,9,13,24,23,30
hsa_circ_0000443,59,78,110,68,49,75,79,67,176,18,50,86,87,364,39,9,78,52,122,57,397,85,38,84,124,53,45,58,50,80,48,39,40,88,69,66,58,102,64,69,54,165,4,176,98,61,33,46,29,58,123,170,130,82,36,108,45,21,57,111,41,106,57,77,65,97
hsa_circ_0032649,7,7,24,22,22,21,21,10,16,4,14,4,11,20,18,2,26,11,21,26,57,18,40,22,3,6,8,5,18,18,14,18,2,7,12,11,9,9,11,16,21,32,2,30,5,21,12,6,5,22,37,24,9,14,10,17,16,8,9,25,13,6,4,5,17,4
hsa_circ_0000567,59,46,181,65,29,138,90,45,91,8,71,16,81,72,40,8,45,41,49,40,494,73,106,51,76,83,51,49,53,40,55,28,46,38,87,43,43,116,66,65,78,143,4,295,20,63,25,40,51,113,92,135,102,67,50,43,68,31,71,51,49,29,73,78,41,115
hsa_circ_0000605,30,16,67,41,43,32,50,35,69,8,75,43,32,174,21,23,49,19,47,38,230,42,39,65,44,31,66,32,34,42,53,24,19,40,23,20,14,34,57,51,23,76,7,72,67,42,30,18,56,58,93,64,46,18,62,57,52,23,37,86,26,44,25,39,47,45
hsa_circ_0000615,93,54,171,101,101,129,118,60,105,27,90,69,192,248,87,25,105,78,151,114,611,32,76,131,80,163,77,50,98,101,108,75,63,73,97,141,85,118,150,92,51,106,17,294,58,120,43,60,23,168,168,637,299,131,62,119,92,63,92,100,144,62,70,117,89,159
hsa_circ_0007099,24,22,35,25,24,73,19,17,55,7,23,26,28,49,13,11,13,30,22,19,131,12,30,12,34,32,28,17,23,20,23,14,14,15,25,9,16,35,28,31,17,42,6,123,13,27,21,20,20,29,50,42,73,32,18,35,31,7,41,36,27,28,17,36,24,31
hsa_circ_0006127,33,14,53,20,15,21,22,11,16,2,25,13,39,23,27,7,18,11,32,25,30,14,16,22,10,26,10,16,31,25,16,15,8,17,16,32,16,17,36,18,10,25,3,35,6,34,16,9,11,33,56,43,50,15,12,22,26,18,25,24,28,2,20,24,28,50
hsa_circ_0005615,53,57,124,73,57,125,68,55,32,14,82,27,96,214,35,11,75,149,88,55,422,18,50,60,82,66,23,53,53,50,60,82,28,49,56,83,41,68,66,40,85,148,8,192,79,62,49,35,51,195,107,221,139,46,52,45,50,27,93,75,51,45,43,63,45,120
hsa_circ_0000722,1768,363,1191,553,668,448,579,291,1757,106,541,191,1904,1130,39,85,436,592,612,1270,1807,411,798,303,402,1770,175,179,994,454,409,712,530,253,714,366,805,383,295,331,248,1161,169,1338,588,1984,431,421,363,806,1333,4498,2424,627,432,703,729,398,417,811,1568,553,636,641,597,478
hsa_circ_0000745,40,9,33,48,28,85,47,37,66,4,37,21,45,103,28,6,39,16,38,26,178,11,38,27,25,72,26,26,32,35,20,24,81,15,8,56,40,59,63,32,16,77,8,155,14,53,32,35,32,41,53,52,106,42,35,30,24,58,24,67,34,34,17,16,66,82
hsa_circ_0000896,31,10,38,27,21,18,16,37,40,4,15,10,41,67,21,4,22,23,25,19,68,11,18,23,10,27,16,9,31,26,23,20,19,23,38,53,20,14,27,14,16,73,7,22,34,33,12,4,8,29,36,30,55,16,16,22,19,17,54,35,25,33,27,16,23,66
hsa_circ_0005542,7,5,27,12,17,25,18,9,94,4,11,7,26,84,11,3,23,15,24,13,220,23,18,9,16,8,14,10,19,15,11,13,4,22,21,21,9,30,18,11,4,22,2,105,30,22,18,6,3,16,12,15,28,8,8,8,12,5,29,25,14,25,7,33,11,39
hsa_circ_0000997,7,5,18,7,22,15,18,14,15,6,9,11,23,38,11,7,8,10,8,6,132,11,26,15,8,11,10,14,22,13,11,13,5,20,24,4,4,15,12,18,14,19,4,46,9,13,11,10,3,20,22,35,17,9,17,14,4,2,13,13,7,6,13,15,15,24
hsa_circ_0001006,9,19,47,11,14,31,10,10,12,5,13,16,22,54,6,4,15,19,16,7,167,8,4,12,6,16,15,21,12,9,6,14,4,8,21,22,3,22,11,18,11,28,3,70,25,17,6,4,13,35,14,26,50,17,13,6,17,4,14,9,10,6,14,21,12,30
