GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR4487,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,1,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,10,0,10,0,2,3,0,0,3,0,0,0,13,1,0,0,0,3,0,1,0,1,0,0,18,0,5,0,0
MIR378D1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR378E,15,14,14,16,37,22,25,16,21,6,26,22,25,26,33,12,25,23,33,22,31,22,7,42,20,21,44,19,34,16,14,18,19,38,9,22,8,23,36,42,33,30,1,20,33,10,7,23,13,42,28,22,26,32,22,27,11,16,20,27,22,15,21,14,30,31
MIR4659A,22,20,8,22,27,44,4,28,22,23,16,40,16,20,17,15,21,21,19,17,16,28,28,41,8,12,50,9,18,24,15,7,21,16,24,29,5,21,27,21,43,29,0,25,24,13,25,12,16,16,10,13,17,12,28,55,15,17,12,18,24,22,12,14,13,13
MIR7850,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,1,0,0,0,0,1,2,2,0,3,0,0,0,3,0,0,2,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MIR5000,3,12,0,7,5,4,4,6,6,9,2,9,1,0,11,1,6,4,6,8,0,3,5,8,7,5,4,8,4,8,4,3,6,3,5,7,0,10,4,9,11,0,0,11,0,2,2,4,0,8,0,2,0,14,1,2,0,2,2,3,3,0,3,3,3,4
MIR607,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
MIR2115,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR6777,10,5,12,3,14,2,8,10,3,9,7,8,8,17,21,0,2,6,10,16,3,16,12,8,8,12,21,3,6,1,8,8,4,8,9,10,6,1,8,9,29,7,4,6,14,10,31,5,13,8,5,11,18,28,1,5,2,5,9,11,20,5,6,3,9,5
MIR3122,12,2,3,5,6,1,18,4,12,1,12,5,6,2,4,7,9,0,17,3,3,4,3,18,4,6,9,1,2,3,13,6,5,12,3,10,3,3,9,0,2,8,1,2,4,3,13,2,19,7,3,3,2,7,8,5,8,2,3,7,4,3,8,2,7,10
