GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
HEMGN,5063,4769,1161,2024,2200,13604,1760,2429,5881,663,4939,5973,3760,6386,7033,2115,7627,9613,2121,3820,4221,2607,3049,4561,3157,13767,2103,2404,2995,4082,2643,3392,14592,2876,2308,4633,3065,1734,4132,3556,6975,6118,944,11626,4125,3187,14525,2377,9536,15575,7820,10581,27132,5672,3945,2943,4698,4779,263,5049,6025,2632,4090,2452,7723,6889
ADAM12,48,95,20,159,80,69,17,49,31,0,118,96,104,64,99,165,32,20,32,68,26,29,12,14,44,149,72,63,61,32,33,34,44,41,19,78,102,212,46,46,116,83,183,274,45,46,90,51,453,85,112,40,0,68,64,43,38,22,131,27,159,23,31,109,86,142
DCTD,4765,2946,4763,4446,4804,6149,3761,3549,7972,1258,4497,2278,4131,3206,4247,830,5143,2816,4078,3258,4366,3809,5947,4349,2744,4904,2602,2184,4586,3090,3730,2815,3809,4127,3656,3560,2690,5068,3247,1718,4891,4999,568,8059,2991,3852,4888,2014,5523,6106,3868,4063,4684,4441,4226,4927,4257,3326,3218,3468,3804,2708,3814,2674,4646,6072
C1orf228,2898,2018,2342,2712,6248,930,3067,2228,6968,2285,2502,2024,4201,5454,1860,630,3065,3052,3450,2723,5665,4037,6174,3860,5220,1854,6480,5514,5072,2301,3210,3623,1790,2524,4371,1234,957,2736,3016,3293,2102,3039,484,2261,6313,5904,2206,3228,4412,3360,3173,5838,11085,3122,1969,6851,3676,1478,4009,8349,2766,5343,2035,2295,3062,2780
ZNF780B,3261,5149,2689,4266,3865,3896,1248,4531,4506,1411,3199,4233,4302,4602,2984,1272,5393,6950,2265,3402,2072,2502,4759,4424,6059,1580,3037,2605,4220,3947,1714,3102,2946,2599,3591,2996,1413,3861,2095,2869,4486,2266,524,6613,3847,3298,3386,1940,4118,4815,4786,5478,5098,3881,4569,4919,2701,1222,3137,2963,3302,4409,2881,2858,3165,5740
ABHD1,121,142,91,164,187,243,82,130,224,33,76,131,170,164,209,120,170,185,67,174,90,71,231,156,92,108,110,92,177,75,80,119,82,97,99,49,52,119,69,76,81,97,134,154,252,137,53,105,99,226,277,344,123,142,137,283,53,83,100,183,118,198,126,80,206,136
PTGES3L,335,114,114,230,263,70,168,469,306,130,522,171,331,336,160,104,165,81,228,275,217,241,389,227,367,176,513,175,201,188,230,147,180,162,82,131,133,196,277,235,459,501,26,238,272,386,269,188,1521,321,263,148,145,182,261,431,354,122,174,487,302,287,164,297,204,492
C1orf106,56,5,319,19,162,0,10,105,478,105,93,82,52,145,34,110,45,3,32,49,59,149,107,22,22,111,154,83,63,47,99,58,102,16,42,65,43,138,34,16,151,535,108,23,316,119,64,89,51,65,20,8,28,218,34,20,98,9,285,82,99,32,100,43,76,121
CSTA,435,333,562,150,596,0,296,560,293,41,908,349,220,1094,49,134,737,0,641,391,866,579,443,212,615,2227,768,504,590,701,916,358,333,184,273,2698,493,797,476,280,1076,1815,112,816,225,895,365,844,237,636,425,76,172,1140,230,47,723,515,3088,878,747,111,475,91,616,2310
TBC1D3I,43,0,25,0,0,0,0,0,56,0,0,36,23,0,56,50,0,0,0,0,0,10,48,0,0,9,26,30,0,0,0,46,26,0,41,0,10,0,40,58,0,0,7,0,30,0,0,48,0,0,0,0,49,23,0,0,0,23,0,66,0,0,33,0,47,0
CEP126,548,190,546,1066,714,1819,832,910,1229,420,659,586,840,865,1395,296,955,1532,978,712,297,307,1141,1191,733,436,405,159,576,735,714,572,499,1032,827,230,304,627,296,69,64,165,181,1334,1246,731,587,563,951,1314,1573,1449,713,406,932,1170,792,332,114,937,906,950,658,326,562,785
CNIH2,136,144,106,91,67,23,223,88,66,53,53,100,76,50,104,60,47,60,118,322,33,69,84,173,130,130,208,179,136,73,93,89,60,182,182,32,74,80,137,252,98,61,50,77,67,135,69,30,140,206,54,37,54,65,116,31,80,24,120,65,182,88,91,124,152,77
