GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR8085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR6820,6,7,7,8,11,7,5,7,8,3,5,5,13,7,11,0,4,6,4,15,11,6,6,10,6,4,15,8,10,5,9,6,9,6,16,2,3,4,5,3,7,15,2,8,10,7,10,8,7,19,7,10,7,10,19,18,3,2,3,19,8,12,8,8,10,11
MIR4306,8,4,1,6,5,5,1,4,6,0,3,9,0,5,6,4,6,11,6,5,1,3,5,9,5,4,14,7,11,5,10,4,6,2,8,3,7,3,9,13,10,4,1,5,4,6,3,1,6,3,4,13,2,7,4,11,4,5,1,16,3,7,6,2,3,5
MIR4697,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
MIR596,5,0,2,0,0,5,3,0,0,0,0,2,1,2,1,4,0,0,5,0,0,1,1,4,0,1,0,0,0,2,5,0,0,6,0,0,1,0,0,4,4,0,1,0,1,0,0,2,0,2,4,0,0,0,1,5,2,0,0,0,4,0,0,0,0,0
MIR3926-2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
MIR6859-2,39,41,18,29,31,42,27,28,26,17,16,46,42,16,40,13,40,43,25,22,24,32,18,32,33,38,22,35,55,20,31,29,25,23,56,21,14,19,26,51,26,34,5,29,18,26,52,30,20,30,29,63,49,45,18,27,20,19,18,26,66,24,40,25,50,25
MIR934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR190B,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,5,5,0,0,0,0,0,4,1,0,0,0,2,0,0,0,5,0,3,5,0,2,4,0
MIR3614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
MIR3648-1,72814,24810,88313,41432,25932,41459,93587,28450,7789,227527,16103,28160,118486,48596,35030,15534,30154,36619,34766,91775,33061,19041,63755,41574,42206,144309,55145,36012,87388,40843,23860,18828,8823,101407,85415,16160,45723,48369,21702,67813,72724,46958,43942,31110,7926,57120,46718,19320,22696,49597,58759,107952,79700,16632,30802,36134,21112,9367,82739,28537,199115,23629,6494,67532,28576,22603
MIR4707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR4430,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR5580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIR203B,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0
