GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
YWHAB,5613,7478,26328,7519,5434,4116,4887,4470,8924,3746,7951,2986,13869,18369,3701,1780,7513,2107,7424,3932,6285,6784,6368,7126,4609,19261,6097,5190,15719,19230,4932,4524,5055,5831,2554,4664,2867,5167,7923,3866,3527,8248,2786,8129,2445,4276,5135,5359,6669,6348,5182,2800,12855,17413,5011,3751,5520,4491,23754,4219,5134,2688,13517,1696,11613,8322
CBL,9560,13632,3786,7831,12246,8889,6631,11672,9674,4066,7654,6131,9360,11574,6849,3420,11058,7546,11445,8266,15374,5876,5443,11025,13186,9914,27640,2885,8034,10339,9415,7125,4600,6571,7694,3277,4956,11910,15153,15123,16696,11259,1098,10396,6138,5631,4980,5481,9599,6179,8348,8563,13829,1472,7177,9426,8456,5732,14692,8522,7241,5921,5344,3960,10879,17541
NT5DC2,6058,1565,5951,3166,2600,1628,2167,2353,9386,678,5184,911,4080,2502,1708,421,4006,485,4537,4471,3473,4257,7836,3316,1712,6121,3835,807,6475,2502,3173,3254,4276,1886,2579,4448,3573,3528,2392,3503,2058,3854,994,2825,1878,4373,6246,3600,3233,2534,2462,1237,2489,5417,3999,610,3983,3670,2163,2814,6607,1202,5257,853,6302,6816
WDR90,7382,2765,3141,4915,3737,1959,3262,4124,4316,1632,2949,2339,3455,2120,4401,666,4563,896,4947,4240,2117,4645,7773,4843,3368,4844,3641,2396,8216,2473,3130,3941,5045,2954,5914,3332,1885,3936,3407,3288,4375,3687,1018,2909,2657,7310,5862,4085,4923,3177,3388,2806,4452,5103,3488,2866,2757,2776,3638,3680,6528,2119,4596,2039,9419,4429
HLA-DRB1,20836,20308,7257,34069,34289,21520,18493,19162,4939,2013,17775,14925,5708,15629,2994,5903,60326,6729,24919,18838,17828,7807,4736,23181,12088,3442,31408,19778,19252,17877,15703,3487,1256,20353,4639,11546,7026,22694,29020,3829,11799,8021,595,34547,7275,12573,16420,9223,13573,23607,34982,29897,55616,2186,23152,22484,17728,11179,32535,2555,17201,11631,1532,6124,3715,49578
TP53INP1,10558,5804,22826,2712,7281,4542,16868,15804,5794,1534,8695,6872,4829,5574,7243,5776,4519,2742,67862,2974,6191,6231,6691,57538,10261,4480,7143,11070,7097,5941,12887,11615,8728,33053,48655,2657,5576,3078,23886,3286,17163,4957,543,11844,1858,4223,5122,3622,9223,5822,6592,7479,7922,3287,7209,12232,7310,5978,2950,4137,4695,3063,5778,8853,13239,7936
PDK1,2964,8460,3134,3216,9893,1819,7089,5915,6732,1266,6730,491,2365,1265,4291,440,2825,593,5571,1011,6347,5938,4011,6919,13951,3429,8514,7763,3209,1641,5635,3555,6831,4313,2418,3477,1763,4238,6125,5341,12396,9422,576,2920,4915,3634,1615,2327,9033,2492,762,2382,10399,3571,3727,11584,5873,3284,2337,2084,3894,3899,9325,3595,5250,4793
TSPAN32,6605,5349,1120,5993,7630,5349,2304,5880,2141,4655,2941,7316,7007,4070,14190,775,5567,8612,2580,5529,6478,3555,8411,5698,5804,5340,6145,3263,8062,4045,2516,6255,6375,2410,2222,3519,1775,1525,3075,3060,9206,8163,767,6244,5490,6741,4739,3688,10943,3435,6505,10387,11351,4703,3132,4201,2930,1845,3884,7680,8912,2991,5987,1438,5685,4461
AC068831.18,5361,1548,1302,3328,3195,1801,2279,3334,6174,445,3706,1077,2706,1173,1102,741,4273,503,3545,2930,1525,6191,3459,2947,2263,5280,4211,1433,2224,2422,3206,3342,4288,2119,3448,2774,2327,1592,4063,1468,2494,5060,453,1979,1586,3633,10680,1926,3642,1423,1450,1175,2076,4109,3156,3114,2706,3479,2270,3109,2247,1358,2605,1580,4094,7106
SKP1,9926,7832,9252,9925,12398,10093,18116,5000,12062,3635,7526,6844,7417,9975,7733,4509,9853,7886,14022,11791,11773,6624,13688,13433,6078,13194,3629,5051,10133,10408,11400,8837,12717,12762,8073,10506,7029,10805,9597,7108,11735,7957,2422,13774,9325,6958,6714,14504,8634,6967,10684,7225,9092,9064,5487,10804,8788,11154,7647,11075,10139,7893,8378,3740,12618,6276
EIF4A1,19333,17024,15246,17437,23767,18000,15585,17654,11513,5475,18351,10836,20109,18487,14822,3957,18979,8203,20167,15794,21734,18821,23583,20574,16860,21303,14466,7621,15260,16656,16331,15101,16444,15201,9901,15907,11391,19758,14012,9120,22006,14090,3116,28705,10769,18673,18558,16173,16468,18662,12731,11819,18232,19550,13063,18157,14636,13073,15953,17470,24172,12177,13449,8820,25456,14892
