GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR6860,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR548C,4,10,6,8,3,3,4,2,3,2,1,3,1,1,2,3,5,4,10,5,8,4,0,12,5,4,9,3,8,5,1,2,3,4,9,3,7,4,6,16,14,6,4,3,0,2,3,0,4,7,1,2,10,5,5,4,1,2,1,2,5,7,3,6,3,4
MIR5192,94,52,77,39,39,41,61,88,23,20,36,38,34,55,35,21,59,51,36,72,24,51,82,75,102,77,148,60,56,95,41,70,44,68,66,56,32,32,63,97,135,68,13,25,33,30,39,63,64,61,69,32,31,43,74,30,65,31,63,28,75,30,51,40,82,52
MIR7850,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,1,0,0,0,0,1,2,2,0,3,0,0,0,3,0,0,2,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MIR4697,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
MIR6794,1,0,0,1,1,0,0,0,0,1,0,0,1,2,4,6,2,3,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,1,0,5,1,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0
MIR3122,12,2,3,5,6,1,18,4,12,1,12,5,6,2,4,7,9,0,17,3,3,4,3,18,4,6,9,1,2,3,13,6,5,12,3,10,3,3,9,0,2,8,1,2,4,3,13,2,19,7,3,3,2,7,8,5,8,2,3,7,4,3,8,2,7,10
MIR4732,1,0,1,1,1,0,0,1,1,0,1,1,2,1,0,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,3,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1
MIR1299,28,121,41,62,55,74,15,15,14,6,35,30,52,39,88,16,32,21,53,49,14,14,87,49,28,58,17,51,27,69,43,25,22,19,42,39,11,36,58,8,35,42,2,79,38,22,21,12,18,63,40,49,29,38,30,75,10,20,35,58,34,52,28,21,23,36
MIR4297,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2
MIR6760,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0
MIR190B,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,5,5,0,0,0,0,0,4,1,0,0,0,2,0,0,0,5,0,3,5,0,2,4,0
MIR3176,12,27,7,21,32,11,9,14,12,14,8,19,15,8,21,12,22,22,5,25,16,50,22,16,19,45,17,18,42,7,7,10,39,13,36,27,7,24,11,99,43,18,12,12,20,22,35,11,13,23,27,19,41,15,13,16,6,7,26,19,35,18,15,15,37,16
MIR191,37,12,12,20,8,11,14,15,32,5,11,8,27,11,19,4,11,1,14,83,7,14,12,12,9,34,25,4,21,12,11,27,15,13,43,6,23,47,25,167,48,28,32,11,7,13,4,23,5,42,43,3,13,6,34,5,25,6,41,5,24,84,14,25,56,7
MIR6081,3,8,2,4,7,4,0,0,9,5,5,9,17,5,15,4,3,25,7,12,2,2,7,3,3,15,4,1,12,15,8,2,5,2,3,4,3,3,1,6,2,4,6,12,5,8,2,3,8,8,9,8,15,4,4,11,2,3,7,11,3,14,5,1,9,3
MIR3614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
MIR296,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,5,0,0,1,0,1,1,0,0,1,2,0,1,0,1,0,1,3,3,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,1,3,1,1,2,0
MIR4748,10,12,12,9,4,18,11,8,5,7,6,20,9,0,6,8,22,9,5,9,8,6,9,5,13,23,13,4,24,12,7,8,6,5,18,10,11,4,12,27,16,4,5,9,3,5,19,3,16,11,4,15,14,13,9,4,7,4,9,8,19,11,11,6,18,13
MIR4430,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4533,0,0,0,0,4,3,0,0,0,1,1,2,1,1,0,1,0,0,0,4,0,0,0,2,0,0,3,5,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,4,1,3,0,0,0,5,6,1,0,6,2,0,6,2,9,2,0,4
MIR569,3,0,2,4,7,10,5,4,8,1,16,10,6,0,9,5,4,6,4,5,4,7,10,3,6,6,7,2,2,6,5,4,3,3,3,5,1,8,1,4,8,3,0,9,0,4,5,4,14,5,3,7,4,8,5,9,2,4,2,5,3,4,9,2,3,3
MIR4454,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,1,1,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR1250,4,1,0,5,9,5,0,5,6,4,0,16,2,5,13,2,8,10,3,5,2,2,4,3,14,1,6,12,3,0,9,0,8,3,4,5,0,1,2,8,5,6,0,6,25,9,2,0,3,4,7,10,8,4,4,13,1,1,3,19,10,6,3,4,3,3
MIR130B,1,2,1,2,1,0,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0,2,1,2,1,1,1,1,3,2,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1
