GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
GUCY1A3,8179,13537,5802,9665,9192,25623,3548,7796,5202,2372,6882,8524,13068,12103,14252,2340,13138,24899,5338,12216,19245,3195,5366,8266,7651,6083,5682,7046,8171,8966,5802,6918,4201,5265,8063,6617,4127,6471,7063,5276,7998,6600,1767,20381,9257,8819,4709,5207,9326,41830,21902,28306,51345,7485,9223,22401,6311,3237,11053,10752,5982,10307,6400,4046,5933,11086
EPB41L2,7764,2376,9193,6635,10127,2861,5117,3559,14059,1404,6798,1361,5218,7942,2874,3995,12042,1221,6664,3764,5599,10398,4390,6798,5615,5598,3299,2285,4195,5677,4796,7779,5562,4358,6120,5607,5128,4494,9687,4409,4468,4329,524,3566,5382,3601,6596,4295,7394,5020,4350,1672,1493,7620,3697,6974,5571,13279,5225,4828,11372,4710,4651,4189,7978,5314
ABCA1,11515,3368,8483,3255,4247,1208,3018,4784,4771,1161,2714,2962,4815,13069,3160,3582,17209,2772,5866,1872,3502,3853,1522,5107,3180,7431,6291,1631,2734,5155,2072,9183,5113,5669,7584,4004,8760,2145,5590,4180,3602,4250,328,3313,4892,1788,2043,3008,6202,3611,4026,4268,7627,10383,1910,3150,2176,15925,6504,1456,6763,5486,2389,1044,7081,5143
EIF2AK2,11630,9952,15457,14682,13234,14759,16929,12979,10708,5228,9119,8191,8299,13165,6276,3662,17643,12588,15432,8840,28422,7181,11128,16416,9071,7907,11579,10898,11257,14111,8977,8145,8530,50650,16759,26918,3491,20933,14171,4546,13842,14271,2109,14063,18439,7959,13941,8145,13081,21189,9580,11905,10233,27768,10560,12180,9371,6393,11769,10108,14109,8789,10103,13495,10747,16070
PRX,783,832,1303,376,542,796,614,249,846,834,559,903,970,2881,497,191,512,322,405,1338,404,532,3963,593,468,659,716,268,1031,406,516,566,665,302,2525,270,340,393,2074,20972,1747,692,275,5745,1890,921,707,384,807,1198,1045,1475,751,1420,578,1539,421,408,269,831,754,1240,774,660,653,568
STAT1,13216,9604,12771,15816,22852,8777,10639,8426,33706,7648,13372,7254,11581,8909,22750,4343,38999,12396,11618,8661,14904,10801,15520,12190,4798,12296,10764,8435,9304,11732,9540,9324,9642,52172,17967,25781,10256,36982,19268,5230,9193,15982,2065,12059,17064,8406,28708,9445,15032,11459,12140,10066,8769,39826,8347,14925,10350,11298,9114,8654,22035,8153,10519,12994,11312,14817
PDK1,2964,8460,3134,3216,9893,1819,7089,5915,6732,1266,6730,491,2365,1265,4291,440,2825,593,5571,1011,6347,5938,4011,6919,13951,3429,8514,7763,3209,1641,5635,3555,6831,4313,2418,3477,1763,4238,6125,5341,12396,9422,576,2920,4915,3634,1615,2327,9033,2492,762,2382,10399,3571,3727,11584,5873,3284,2337,2084,3894,3899,9325,3595,5250,4793
H6PD,14491,3725,11610,10583,6120,5565,9420,10735,12387,4238,12296,4634,15082,20961,1814,2535,11085,5265,11615,12979,9864,9289,8117,11926,12388,15065,19429,7310,12785,9440,10206,9753,8054,7958,9437,10754,6089,2149,10184,7432,7934,11451,1801,3894,12415,15755,6664,8255,5085,12722,14348,15741,17492,17182,9789,9376,10092,11209,14997,13271,13441,11022,9138,4716,10834,14426
HIST2H2BE,33017,10276,45362,17575,19576,14514,56730,20216,46272,2237,30992,3215,24067,38174,13454,4831,26227,12030,42862,21697,25072,21083,22883,31149,25316,40550,7365,15929,26274,21064,21576,20975,17355,31744,25514,23427,34976,9781,23129,8861,23260,29269,9118,14804,11782,20159,24071,34194,24621,15902,28663,15577,18163,16928,16267,27451,50442,20931,13135,17366,30957,7985,28025,8208,28365,30607
MIDN,6611,5128,9008,3684,3232,3138,5309,4466,7443,3254,4997,3949,6136,4952,3716,1505,4624,3915,7333,7577,6768,4971,5081,5070,6054,9397,7519,7346,5371,3757,3331,4363,4598,5727,5809,4993,4587,5045,4930,10435,11671,6344,1584,5490,3269,6970,4204,5935,8616,7701,6849,5011,9019,4874,5398,3186,6087,4639,14840,4158,7461,4000,4975,5279,8787,6590
MPO,439820,97419,541159,402483,142076,4675,223553,573356,214103,66100,440357,45067,647038,751722,12950,44768,459839,2132,533760,301725,47607,326286,436478,259897,302529,938408,310409,292435,629824,462852,514238,357380,186367,194246,127895,969871,241721,263083,233411,7251,676559,572557,42627,231098,307507,483826,190108,293118,45480,364121,239099,29028,27660,725067,165979,79836,492332,242211,1049696,398628,317536,25121,272101,111393,392339,1268243
TSPAN32,6605,5349,1120,5993,7630,5349,2304,5880,2141,4655,2941,7316,7007,4070,14190,775,5567,8612,2580,5529,6478,3555,8411,5698,5804,5340,6145,3263,8062,4045,2516,6255,6375,2410,2222,3519,1775,1525,3075,3060,9206,8163,767,6244,5490,6741,4739,3688,10943,3435,6505,10387,11351,4703,3132,4201,2930,1845,3884,7680,8912,2991,5987,1438,5685,4461
