TE,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
ALU,9143.6,8986.45,10564.3,8150.22,8221.49,6061.99,7290.05,7881.51,7059.21,7523.42,6618.57,9892.05,8766.84,6021.26,9787.8,6009.74,6877.89,8183.79,8072.73,9306.07,5579.7,6385.99,6264.46,9375.79,9357.52,9511.53,13599.0,7721.05,8590.44,6612.61,6959.7,4741.42,6593.15,7271.96,7903.22,5909.45,4629.16,6303.3,7430.7,13410.6,12638.6,7317.08,4091.96,6513.3,7065.91,7019.28,6148.82,5222.05,8245.11,11432.6,8494.2,9322.82,8582.4,7599.44,7370.1,7800.57,5652.82,4946.98,8698.03,9530.9,8871.46,6516.82,6081.12,7078.72,9072.45,6690.64
AluJr,1567.68,1141.14,936.128,1085.42,1003.94,1003.92,1153.25,1087.77,1180.33,1019.45,802.787,1870.29,964.59,967.78,1694.92,1195.26,1063.58,1174.99,1108.86,1550.93,688.697,1048.49,842.567,1318.97,1272.53,1759.8,1806.28,1046.95,1348.67,1028.65,943.936,689.1,1163.09,1232.72,1347.83,857.841,881.944,886.429,1002.38,2560.71,1945.98,1365.8,1091.74,979.688,1158.42,1220.17,939.429,930.15,978.277,1840.33,1274.11,1417.94,1278.44,1238.01,1206.32,1135.73,810.193,736.021,1286.5,1213.18,1687.27,1130.95,1015.1,1299.6,1818.89,1000.22
AluJr4,8494.22,6722.98,7226.66,6450.93,6767.55,5932.29,7137.76,6929.24,7417.67,5240.83,6093.45,9185.61,5960.01,6099.33,9023.09,5005.56,6414.47,6738.61,7839.1,8444.05,5702.57,6158.79,6530.15,8638.74,7202.02,8767.59,10841.0,5862.15,8564.76,6065.9,5759.8,5243.51,6350.26,7250.13,7512.87,5299.94,4784.68,5720.99,6421.22,13894.9,10187.5,8028.43,3681.26,7081.09,6557.64,6707.35,6496.37,5670.5,7026.02,10055.5,7826.48,7898.21,8615.35,7286.93,6622.88,7221.28,5157.1,5106.92,7028.46,7221.67,8421.84,5925.11,5684.14,6111.24,9584.53,6364.48
AluSc8,17029.6,11837.5,13910.0,11888.9,11340.9,10566.3,13405.1,12961.3,13603.9,11085.5,9785.64,20346.6,11063.3,10305.0,19669.0,13959.4,11979.5,11134.2,12987.2,15862.8,8365.36,10472.5,9589.76,15705.4,12464.0,17736.0,21316.0,11295.5,16107.7,11215.4,10561.3,9464.22,10958.3,13657.1,15212.7,9829.63,10979.9,9958.31,10685.7,28022.9,19519.3,13910.2,10444.2,12732.8,10557.8,12236.3,11656.1,10617.6,11412.5,17144.5,15179.5,15842.9,16209.3,12400.1,12334.9,12604.0,8845.15,7955.17,12867.6,12874.0,17822.2,11076.2,9601.1,12556.2,19019.7,10386.5
AluSg1,2948.53,2068.31,2650.57,1955.01,1834.74,1808.94,2264.91,2003.04,2455.01,1537.59,1606.19,2797.51,1890.11,1597.68,3381.74,1929.21,1822.75,1915.39,2286.03,2886.97,1431.8,1812.45,1530.32,2423.3,2156.05,3077.46,3565.63,1861.76,3059.82,1743.62,1588.14,1390.67,2033.1,1944.93,2551.56,1532.84,1876.8,1649.88,1848.27,4816.33,2808.89,2151.63,1619.24,1892.93,1945.05,2250.72,2021.69,1659.19,1889.25,3110.56,2472.96,2856.4,3191.61,2194.47,2103.8,1871.94,1516.94,1313.74,2171.39,2234.83,3171.96,1938.28,1845.14,1820.02,3009.53,1744.85
AluSg4,13765.3,8820.49,10775.5,9313.94,7866.53,7563.05,10041.6,9536.74,9445.4,7605.4,7198.41,14580.7,9136.17,7392.65,15275.3,9348.03,8007.39,8614.31,9930.08,13427.4,6300.37,7089.64,7637.73,11898.2,9919.75,14099.6,15913.2,7436.65,13133.4,7865.93,8145.23,6876.9,8217.88,9929.17,12416.9,6771.99,8119.79,7264.17,8546.84,21759.8,13226.4,9796.2,8146.58,7581.22,9104.2,9684.79,7754.23,8524.29,8341.59,12623.6,10964.1,12431.0,12779.1,9658.6,8686.69,8256.69,5955.2,6045.41,9507.37,10132.9,13263.3,7667.31,7277.7,9009.7,14757.7,7738.92
AluSq2,78288.1,52997.3,60772.6,52301.1,49535.7,45595.9,57353.4,55035.3,58227.1,47196.9,42657.4,85791.4,51076.4,44027.6,87258.5,55459.4,49264.5,52060.2,56588.0,76516.2,39975.4,46676.6,45761.7,69064.0,57586.8,79947.2,98005.5,46611.0,75348.1,46369.2,45241.4,42018.3,50033.7,59159.8,70035.7,41260.2,47416.7,42888.4,47152.3,129523.0,80238.2,59080.1,49603.0,47753.6,50579.9,56350.1,48768.9,45951.0,50650.8,78477.5,63011.4,71064.4,76415.9,56643.9,52798.9,52583.9,37894.2,37900.6,55103.9,59534.9,80936.3,48902.7,46658.4,55842.7,87002.3,45462.9
AluSx,515.32,1294.48,664.44,736.127,672.919,530.88,1037.81,777.699,574.259,823.527,579.002,1951.46,688.404,499.618,985.465,229.937,614.69,1089.13,883.774,559.617,579.199,362.406,737.803,953.041,789.709,779.608,1587.28,689.596,708.008,871.983,809.171,856.464,417.954,877.396,991.168,582.198,347.775,888.14,840.948,2045.87,993.56,1173.98,374.126,816.681,718.978,508.496,929.467,939.921,537.547,1097.89,605.483,505.914,591.729,790.843,822.311,763.702,596.452,320.518,784.569,973.909,1076.67,695.416,519.095,813.166,688.702,370.278
AluSx1,756.095,126.705,0.0099518,495.396,240.171,697.467,1616.28,1171.53,740.682,0.00990243,700.312,1053.63,0.00997236,589.913,942.693,763.668,664.561,486.402,1155.7,1010.06,853.609,1056.5,477.676,682.595,322.372,1152.75,663.601,311.465,1354.15,575.748,598.586,740.443,817.724,1497.77,1207.8,489.195,817.798,535.834,786.227,2024.14,1005.54,1589.88,236.1,1283.85,674.604,898.038,1385.73,1464.17,1068.64,266.044,237.147,428.421,954.227,1240.33,657.322,727.361,608.725,639.883,1079.57,263.452,1346.91,707.978,757.249,907.638,1054.16,730.043
AluSz,97889.9,77204.2,72650.0,69912.0,68535.7,65814.3,76153.3,79070.2,75601.5,66172.2,60281.6,120296.0,62905.9,60355.4,109524.0,75990.9,68141.2,74194.3,81391.5,102524.0,51707.9,60824.1,56764.6,94884.3,83416.4,98374.0,133044.0,63967.2,95103.5,66095.1,64618.4,53940.3,66225.3,83344.2,88326.4,56270.0,57923.6,61005.6,67075.4,173396.0,115001.0,83737.6,63135.2,68391.0,69240.5,70549.3,71803.6,61640.0,80493.5,110707.0,80743.2,89006.1,93160.8,77909.6,75040.5,75469.9,51608.8,49484.8,74588.3,80322.3,99310.6,67482.0,60137.5,76178.2,111118.0,62175.2
