STRAND,circRNA_ID,GENE_ID,GENE_TYPE,GENE_NAME,N58,N60,N70,N82,N83,N84,N85,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
+,hsa_circ_0001387,ENSG00000109685,protein_coding,NSD2,8.450247232149405,9.502360050043883,9.273534196843846,9.675945505537074,9.18014458324865,8.892947417904727,9.67335792385379,0.0,0.0,7.734399494761298,9.357757289920322,8.225304017401863,9.10565651723385,7.535501537569781,9.523741158614435,6.077785748202651,7.3146086466707505,10.084417306433608,11.3408696977935,10.010991295117822,8.640137728820624,10.072278654735873,10.29292612718852,8.541385308058304,9.90654907356009,8.257141609709509,10.097526337936566,9.651288918999095,8.622209762058906,9.967750446530044,8.859866650008486,10.528113905423613,9.3699823031554,9.595812307905282,9.55663669124149,11.642621630473554,9.537085377131023,9.733416799032435,8.636419927405726,11.69729449753719,9.66538923215067,0.0,0.0,7.82956366778016,9.543215128764647,10.21945873166226,9.891581152116206,8.402508660362686,9.832489440450484,8.36830175383757,9.899484833717615,8.76142793163439,8.90572402111608,9.307616532614945,0.0,10.287065273072923,10.19862197345387,8.726895684273753,13.097020197439171,9.105964512645649,11.040003011401453,9.102624088492815,10.044361289464398,10.497764737037246,10.05758709522177,9.177089769246765
-,hsa_circ_0002484,ENSG00000196323,protein_coding,ZBTB44,11.304668027116778,10.863713992858312,11.56935656420541,11.567740867901296,11.763033094543442,11.553354540168112,12.077916075720177,11.372926785498455,11.901278648511656,11.31313847492941,11.858445619894749,11.957803546199715,11.562943906107387,11.864374770899808,11.770120520634121,11.96351905176973,11.553924788527075,11.945950074622107,12.366121782155293,11.679883616554724,11.280953238090925,12.028214714275427,11.462212102369984,11.823308255005825,11.671022373219053,12.060111200114912,11.141241951858218,12.042153242124753,15.027977965477234,11.46158533535293,11.179308447483246,10.528113905423613,10.854006787047217,10.18015319646096,11.614073670408528,12.36826826347391,11.651068055221804,11.246887916672446,11.333788753484642,12.535351963076101,11.936997968871786,12.223559325153454,11.487746294344479,11.21613145328333,11.65720414668247,11.218853569162086,14.251591937010215,11.305699473074444,10.738641420870168,11.027585603694053,11.942734149361513,11.421590674057521,11.260852881715028,11.74633063252925,12.04088679827075,10.734216304158274,11.079416144911175,11.853159687085704,12.887592559142723,9.742459051642395,12.277767973324796,12.069959347887199,11.517417832191901,11.719586888737554,11.163776892464139,10.634934524916607
+,hsa_circ_0007848,ENSG00000270106,protein_coding,TSNAX-DISC1,10.534552406812063,10.153713218631792,9.273534196843846,9.86837010413783,10.401115161738774,10.006789584035058,10.5205693427802,11.220984132940698,11.342029886474227,9.314838462980443,11.019216995211757,11.028520970828,11.103691095055781,11.089081758906447,11.107396440607026,12.471558708176495,11.905806230605092,10.209837450214815,10.53393186697375,8.554004434597646,10.444907446193762,10.443942846284767,8.296371986401109,10.997645253163638,9.584996720520676,10.253600646957457,10.620687476414226,10.457874735323026,10.426947124037795,10.899950025485477,11.807120085058331,0.0,11.953126689564547,9.595812307905282,9.971195171957559,10.402228710925929,10.121400434224405,8.513282372573418,10.218963483854969,10.297468887162362,10.539050554697711,0.0,11.902658197210839,10.824003528244788,10.37244390212884,9.97867062832773,10.04343235360713,10.306269288375505,9.41797929202604,10.949621485590935,10.898729365199552,9.17563407486459,10.94783751607037,10.668794633743426,10.626419816942615,11.149042052504667,10.650803612399475,10.424976166460896,10.004284771474042,10.104654808504424,10.214561768641872,10.837751509872366,10.780780292270636,10.234929872333348,10.526696287259773,8.762882787833961
-,hsa_circ_0002711,ENSG00000180530,protein_coding,NRIP1,11.304668027116778,11.217182626487332,12.427967520324708,11.390925095818293,10.841406960592725,10.213053480452755,10.672474220194633,9.053172968887496,10.416530560678048,9.899045660750481,10.231226553565445,10.337068219866081,8.108272921986705,13.118827829360589,9.845277212236953,7.648438251639465,8.631088844253101,11.431533607519041,9.704613503918777,10.136405656748593,10.338071856151823,12.443165861212101,11.292351016292503,0.0,10.391546361612942,9.254781933801166,10.18491171892399,9.972858148900636,10.079309603521903,10.093161262766387,11.12589266418974,10.528113905423613,10.047236340354859,11.594413303703028,9.29398538577579,11.527182014910693,8.953093497385382,12.990632517368942,10.803522432588949,8.656046694475664,11.538565660282273,0.0,12.487495090584538,9.994547382236574,10.073134749866613,10.326287499333041,11.527980063270975,13.25636727799385,11.355019065242647,10.10220804052358,0.0,10.17438614184337,6.914720053059723,11.498481853771848,0.0,9.413558062607768,10.19862197345387,10.531816410778239,12.13565032709128,12.634085601797763,13.245917067388918,9.517005366317068,7.879210149488782,9.72086967857284,10.444291653259116,11.345075034346308
-,hsa_circ_0000551,ENSG00000100678,protein_coding,SLC8A3,10.694914690764973,10.693885767091082,10.774525383668458,0.0,9.76427784594801,9.766036419641878,9.351871477891015,8.639040452656399,0.0,10.728459444695355,10.093843048921961,9.44493911213838,0.0,11.415757827103608,7.529609029268633,7.936636894052778,10.39405273835012,0.0,9.342537339732095,9.552083902091239,9.223894377154755,9.891885069527975,9.615544052664303,7.545252352636161,9.170585240270496,11.867514385139003,8.422348464245477,10.351038432918292,8.791727899280595,10.093161262766387,8.57104991124098,0.0,8.051321051274714,9.595812307905282,8.972631750763643,10.112958981973357,0.0,11.246887916672446,8.222590381033658,7.246957565039721,9.081314784238913,8.953152844233854,10.903034953650984,8.412410546078785,7.962114777577239,8.842881924330259,7.726962319322028,11.890471985338136,10.416924397483266,9.588197267883663,0.0,0.0,6.914720053059723,9.49997699697254,0.0,8.415672004169595,9.95092463071,10.811752349113773,9.112403505018742,8.260060662792283,11.963730051783138,10.42297675014087,8.876143052508073,10.613165200519367,0.0,0.0
-,hsa_circ_0005542,ENSG00000068784,protein_coding,SRBD1,10.906300109586883,10.394526460124743,9.273534196843846,11.326819177970721,9.76427784594801,10.89066951770474,10.5205693427802,11.574489691091015,9.417585743127193,10.81587226578919,11.019216995211757,10.22168394437949,10.426012488640913,9.115270626775825,10.692576893387306,12.25295998737627,11.69826899807383,11.01667020575326,10.926017587285148,10.010991295117822,10.222687516033098,12.538306558107914,11.462212102369984,9.539447891805773,10.043915939644357,10.897031336575825,9.098842526485521,10.110231154156777,10.079309603521903,10.677683436537407,10.205903423367777,9.680898390626874,9.854786034926715,10.18015319646096,10.671081978665502,11.656423132581088,10.758367717149683,10.384877064986812,10.54064946109611,10.408415280225292,10.249759393830056,9.95169672770957,10.903034953650984,11.730522684862507,11.229936945829415,10.326287499333041,8.723553452029543,10.306269288375505,9.832489440450484,10.779787665561916,10.358504427660103,8.76142793163439,11.188733245513431,11.022238916402888,11.04122913611402,11.871257785797546,10.650803612399475,11.367888834717936,11.209939430482867,9.934893585116466,10.398840630157357,9.517005366317068,10.044361289464398,9.72086967857284,9.165662191682337,9.177089769246765
+,hsa_circ_0004658,ENSG00000132205,protein_coding,EMILIN2,10.254652898372617,9.280299124475023,9.388832087042623,0.0,8.182629441347284,9.114906230689074,9.521551135511334,9.859363506541525,8.098818572932657,10.63540672771812,9.941986631938008,11.279949229361964,9.689745827531677,7.535501537569781,8.525699768516205,11.026585265907721,10.798180890117072,10.946315694843507,9.342537339732095,8.875164623251438,10.88520764109533,0.0,8.296371986401109,8.127637975686671,9.584996720520676,9.713569334069371,10.267305022057293,9.821014562025475,9.790099294000994,10.829598448462995,6.41434117367403,0.0,0.0,11.764286464112464,0.0,10.697487157866348,9.537085377131023,0.0,8.957622764775927,8.463912438907562,9.402710113040374,0.0,0.0,10.14640904707236,10.831578674873146,7.525659100904421,9.044798805835804,7.406765883950762,8.420086769920033,10.10220804052358,10.221110788668303,8.17812670717737,10.761525129970627,8.501968113958611,0.0,0.0,10.03830172638375,9.725192178730167,10.303581647337642,0.0,9.925324945226059,9.838539585009814,11.333060369128042,7.917782503578286,8.943688391362933,9.177089769246765
-,,ENSG00000154655,protein_coding,L3MBTL4,8.771350142951176,7.699969584416641,8.27586342455868,9.19122398591719,9.18014458324865,9.891429217466197,8.354077696772887,0.0,10.90165576534292,10.313705360216352,8.359954533188159,9.44493911213838,0.0,8.380038247859787,7.529609029268633,10.62196754888632,8.479490005011503,9.625483904997095,10.234596122768657,7.557837846679792,7.643749250401442,9.984899563318757,0.0,9.8609881910327,9.754712988573488,10.16057002512139,9.098842526485521,8.6530819061534,8.943405418714319,8.510837905224415,8.57104991124098,9.359409642690794,9.632653269378633,0.0,8.558551176588011,9.80132940513709,7.956001448347034,9.248667741476957,8.957622764775927,9.90190217925875,8.667164791463668,8.953152844233854,0.0,9.410291816670979,0.0,9.105392573680575,0.0,10.306269288375505,0.0,9.103519966758297,0.0,8.76142793163439,0.0,9.085603508737467,11.848290630708297,0.0,10.120687664006871,10.184158855636712,10.303581647337642,0.0,9.215775443526667,7.52290064147137,0.0,10.37232455888833,9.527673920691274,9.76122127372133
+,hsa_circ_0005881,ENSG00000109685,protein_coding,NSD2,9.255833324293311,7.699969584416641,8.859273524715162,0.0,9.18014458324865,9.628698579559611,9.67335792385379,9.637229918520964,9.90240970340207,8.731008175774928,9.095162600536044,9.222891644961985,0.0,7.535501537569781,8.11196653349749,7.287921168322501,8.310070162082415,9.433099729320334,11.391476591355046,8.875164623251438,10.222687516033098,10.30654288893496,9.878271907846392,8.862538748630833,9.584996720520676,7.843675086264515,9.098842526485521,9.821014562025475,8.430087626712613,9.508859000586439,7.726084556771997,10.16582294311007,0.0,0.0,10.140960465194935,10.91975546237493,8.953093497385382,8.927332433917469,9.63460609953986,10.460844788092231,9.66538923215067,8.369644991855829,0.0,8.826389069597143,9.69502484306446,9.105392573680575,8.309653137042018,7.98889163191127,8.420086769920033,9.103519966758297,10.358504427660103,9.759764740190194,8.71350860004738,7.50594212280223,0.0,9.635648239276449,9.273727039505347,8.312992738901814,12.185392494044043,7.9393085792264975,10.509792785471634,9.517005366317068,7.879210149488782,9.72086967857284,8.943688391362933,9.498519323827107
-,hsa_circ_0001776,ENSG00000117868,protein_coding,ESYT2,12.675155874323254,11.978774256218456,12.794966177477347,12.97552939531899,13.002259718652319,12.514646845400948,12.964552226375057,12.60527500964603,13.433526920517561,12.727821557755826,12.385573679513426,13.190255943034286,13.746996486464013,12.228444781562185,13.825660003303053,14.585105534528244,13.282942033179918,13.310298829453577,12.025157735989232,13.264552938793466,12.846166449168257,12.878484516840624,12.613933934565182,12.66701273604375,12.56063578182698,13.592385204003138,12.096538407916608,13.32205992490423,13.721938431606901,13.136394230150719,12.921074470683294,12.714978167099956,14.367868528733764,13.54826341445799,13.057389254632977,13.013367472696157,13.795771173408651,8.513282372573418,12.93675475060628,10.901147975856528,12.663833823161012,12.857324165775461,12.487495090584538,13.362503268999198,12.847284387407417,11.94443928539791,13.929682332897487,12.646391393335417,13.416000731597439,13.493337453556071,13.164917136883052,12.788050966972099,13.303734954268183,12.95759612152221,13.795533347321175,10.997109546157118,12.3247869396862,13.530963471101181,13.30258246249571,13.062870540094892,13.23788057798899,13.229430651612736,13.299477280736774,12.69338166050448,11.48557921309583,12.129113757426667
