miRNA,N58,N60,N70,N82,N83,N84,N85,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
hsa-miR-4707-3p,1.437318911709073,2.8686551272960195,2.611190595460657,1.9631499480665178,1.2614558090660906,1.8192252984722352,2.3003441001269986,3.857892512436949,1.9776153654099216,1.6123547823731288,2.7367687140633934,1.9529398021021336,1.7823287288336316,0.9875963399583721,1.5756613347074009,1.226270024453609,0.9108191092983589,2.3076841330525073,2.353511019441429,2.625115906422466,1.8406056408885458,2.6341919115061994,2.512476597968526,1.0229184627452028,1.6763628002772641,0.0,2.183077221211054,2.5998314053475857,1.681060447064948,0.0,1.683612057563934,1.8013985927085316,1.5230076696905455,10.816230775717118,2.0272564190912967,0.6800562231027918,0.0,2.8044376394222716,2.568437199204817,2.0035211777341235,3.4299401910230767,3.8830351817941127,4.300455039484168,0.730620669876909,1.5773709106479978,2.291888062914866,1.651564424502197,1.2120397704499033,1.8469524492180847,2.044078074278929,2.9680128120156897,2.761515360723257,2.9154487825566986,1.338999322830538,2.6172677819015795,2.7141900118049866,1.0202860316953464,1.9762436388305624,2.3502079279667742,2.0846547421240897,0.0,2.853774677412764,3.321993667198253,2.3381729480158904,1.9859764225947538,5.661481402968932
hsa-miR-4317,0.0,0.0,2.4914434747096728,1.4182284919436159,1.469890551658945,2.028102665476374,1.7567004638421364,2.179681950108552,0.9187136469630544,1.2941686355228998,1.9547402325059364,1.1689842406906246,1.904883217757958,0.0,0.0,0.9685453814185088,0.0,1.71986581041476,1.7437094455747428,1.6571329013303258,2.359117887724883,2.238846378660628,1.566000754280437,0.0,0.0,0.9506290004604692,0.0,1.4063753737220193,0.0,0.8664470424905376,0.0,1.7259759118836129,0.0,3.1470939324380462,1.5199177665600918,0.6341459191215819,1.6116684366625598,0.0,1.7932019986329175,2.0947408371533407,8.919123327056889,3.179177353994206,0.0,0.9434292410905377,1.4914484509355246,1.3161551636186297,1.5172171297963237,0.0,0.0,0.0,2.334623745804021,2.0704722749854643,0.0,0.9150613900806579,0.0,1.4851952913619568,1.1596196736916289,0.0,1.4430368777463642,0.0,0.0,1.4119891420304767,0.0,1.929195703726984,1.0862771609293642,2.4986000854243566
hsa-miR-510-3p,8.521072632857152,8.331569159558363,7.206840650910191,7.832334259263393,7.761778788714966,7.621583439917151,7.515795660648788,8.858364430586072,6.823788760421349,6.825742234088721,8.204189818614065,6.629500341975667,6.002929177738365,5.615592858728234,7.215578982999894,5.670965910955041,6.164485685071841,7.530655688790415,8.372939209953937,6.613606863436858,6.467872208819086,9.11230635405409,8.154453163566739,7.690422006759101,7.575754758294651,5.634325227696411,7.7958550087268685,7.577814083003198,6.420216926539243,8.62550577113993,5.680818460950759,11.308100687381975,5.735567886660812,16.646320821498286,7.362756245694379,8.56196908558247,7.451579441354413,8.264113976887831,9.650701133900617,6.984422775076572,7.075257518590754,7.650473012563298,10.291359526401344,5.981326857033141,7.4072504555605745,7.260453925363286,6.2489534994402485,6.4385775653073845,7.679141887185941,6.253435758555824,9.257809296148658,9.451838302686326,7.2949660979575635,6.919408474755008,11.429694944165988,8.543727075652658,7.266276999670502,8.157708423484754,7.850544303261031,7.953443611531186,6.198885947169497,7.395316346033959,8.725327789012553,7.6778399111553775,6.837269263584684,8.24583979434552
hsa-miR-1203,2.467375206018056,3.940988549099601,3.7840006126165058,3.294087834200044,2.2120014641215064,2.1403008336887535,3.045564197601679,4.524435739098629,2.90691589378668,2.2112897667161575,4.014961840709653,1.8061452598055188,1.5516469144287983,0.0,1.6381985399418681,4.271130328059595,0.9108191092983589,3.6106283773260466,2.012233343740643,1.7055735724153775,2.464094775449164,2.6907043998814735,3.518251872288698,2.0988632749319156,3.064152939892175,0.0,2.183077221211054,3.7829789664354494,1.1769193044422792,1.6934586536523737,2.456725249565032,4.8693326678462245,3.5576428877955646,12.114166285641922,3.4152634754042808,1.3817665059373654,2.9415128552474967,8.94676612399806,2.6783756799521603,3.8944429126400566,4.153857231414201,6.224416694620265,5.654182376855643,1.17170025317937,2.9341279503000557,2.291888062914866,2.1822248486452507,3.9741157285258892,2.657118519294013,2.4259251872206278,5.205244748849448,2.205760293615452,4.160132641967513,2.397041553929971,3.2043584635557454,2.2013519865725772,0.9706816406693307,4.39179918861244,2.5588376918029745,1.4570951907256342,1.3077808443081809,1.3349218795406228,4.320428306397798,2.1481282400173383,2.7035785785109625,7.201495124267658
hsa-miR-4655-5p,1.0283968292871877,1.858617601612088,2.057755619795371,2.0038283451200303,1.2042765888050828,1.3444538502959729,1.6513706722388282,3.3996109212135734,1.6493991142851014,1.2211511662589414,1.921929736859353,1.8567546407854192,1.3931634245954883,0.8889501873968411,1.369928064370999,0.0,0.0,1.8273934522498383,1.5643584176169116,1.6571329013303258,1.7326786831978425,2.2004378853933755,2.002379620846052,0.0,0.0,0.0,1.4702014267534804,2.5464781576388424,1.1257345739543965,0.0,1.2427110566034592,3.2512627120804534,1.475189111178701,9.50185175321939,1.5199177665600918,1.002645151276764,1.2243076039169727,3.17917467942521,1.3371218138396024,2.915136222805161,3.411387146795425,3.459814030066276,4.096487381552203,0.0,1.535049245809569,1.3810800495476736,1.4695029156589279,1.3054157496936585,1.3033965494095845,2.1993459787501464,2.598184720273326,1.7546193342891816,2.1520335722225012,1.0332830553882641,1.6108643377956091,2.2517787235073383,0.919310777660946,1.5933956018837137,1.7570451691200177,0.0,1.1651815226214899,1.4119891420304767,2.0463488712601907,0.0,1.786904363198135,4.819858505149773
hsa-miR-6505-5p,1.0799922036950322,1.9266471910685816,1.727572670074852,2.5067034673715747,1.2614558090660906,1.5206481136700896,1.7049966081024914,2.5811793754620775,1.5650822683206635,0.0,2.490511356399575,1.3209120467675308,1.0119158991114447,0.7830606728084394,1.294270031292342,1.0596659141704619,0.0,2.2700592620703555,0.9845745902037389,1.3870417674378632,1.1958526167129617,0.0,2.1793488284711,1.1503428835700755,1.788514135425672,0.0,1.4702014267534804,2.373448468557207,0.900638921241667,1.2341005612478124,1.463013477860797,2.7401342158629003,1.819569726329506,9.224630487700097,1.279933086624429,0.8096224913792945,1.83594964072795,2.078321248578945,1.5831099725203628,2.5783763135702333,1.7985826869250947,3.6790857416095792,3.2192648862261075,0.730620669876909,1.1426143942711238,1.3810800495476736,0.0,1.4757849331266766,1.3033965494095845,0.0,2.82095314442986,1.0946208895847598,1.7208733254860826,0.0,1.7047757287471634,1.7882399846459247,1.0682414090410353,2.0737511074457102,2.014775448754805,1.0569847764609357,1.0069256889594935,0.0,2.2966750351035947,0.0,2.1608804677944407,4.025300437994116
hsa-miR-1249-3p,4.109758373362894,3.361860009437157,2.9659571564461227,3.5071530769605292,2.928700679669282,3.2594721993243105,3.6207515862967408,4.696073692099642,3.6828772386370483,3.1286069473434273,3.0108522963772524,2.8565209312436863,2.504951300762811,2.1182890119719664,3.0919942210555456,2.327353825782307,1.422348770984533,4.670724132748103,2.674237734277863,3.2973314233257254,3.36369992193892,3.966501154816683,3.534618444177637,3.039871501557676,3.1080468581863365,1.7178207941806658,3.033260216797424,3.6998972779118993,3.002513344784926,2.251886004001085,2.8442772184354284,3.1682189101677434,2.767459132874453,10.744671743053738,2.9858010986555876,2.382782152647096,2.518262287438763,3.843287577865587,4.07482919996058,3.5840269281028285,3.3925923989179974,3.404103092121915,4.1815648897812485,1.6671492685684592,2.6064531091990553,2.7507847988726883,3.0138299809892866,2.351868106437845,3.3105562275038185,3.479400470374901,4.5229536723249835,3.178271728463894,3.8165224698069498,2.8152716963962536,2.997253095493411,3.0353076564148567,2.411141053980398,2.8368271940689715,3.465857705745725,2.219507099435285,2.6330701812503245,2.8811384472489148,3.671262037213655,2.096430400855669,2.7260184197097304,6.180753896875518
hsa-miR-5681b,0.0,0.0,1.4347531370714555,1.6408940988108751,1.2614558090660906,1.4642742260023205,2.3003441001269986,2.0409553248024905,2.3493577142630135,1.2941686355228998,1.921929736859353,0.0,0.0,0.0,0.0,1.1863877750151708,0.0,1.6036737533416137,1.3033977123522762,1.127395674984214,1.1958526167129617,1.4521161473314155,1.6283303481211802,0.0,1.2756495109677455,0.0,0.0,2.141254295900576,0.0,0.0,0.7230604868281082,3.1394403095334664,0.0,7.927247396009299,0.0,0.8096224913792945,0.0,2.8965257355898615,1.5831099725203628,2.049851849366451,0.0,1.9699396103795765,3.048581783853065,0.0,0.0,0.0,0.0,1.5154093186841922,1.0903806053495193,0.0,2.0996007393436864,1.0946208895847598,1.4448097233558226,1.194223986047424,2.0999537553747394,0.0,0.0,1.9422195350324025,1.5769458795501226,0.0,0.0,0.0,0.0,0.0,1.6051531843849192,2.9756860972998034
hsa-miR-3158-3p,1.0283968292871877,1.7872206694620285,1.4347531370714555,1.4771986781603208,1.469890551658945,1.2805926810602326,1.7567004638421364,2.677991717904796,1.8045497118048555,0.0,1.3611950114298141,0.0,1.3931634245954883,0.0,0.0,0.0,0.9108191092983589,0.0,0.9845745902037389,1.5550809283128697,1.8406056408885458,2.312725491314532,1.6283303481211802,0.0,0.0,0.0,1.2351097987389206,2.029033512343513,1.0175723541537056,1.5559747372642332,0.7788376937266188,2.241342769147776,1.0219363407754516,8.425257607031417,1.5199177665600918,1.1071661756720141,0.0,0.0,1.8412700160030937,1.955653136549876,4.929316439773595,2.6506076104657375,3.3718741737245934,0.7868372921406351,1.6973606482757564,1.9927802192516804,1.1444050227978322,0.0,0.0,1.523289886613259,2.334623745804021,2.237688974455853,1.909055195616033,1.2923366967622236,0.0,1.8550042811701026,0.8660429696973185,1.1323865270751887,2.5588376918029745,1.2708663558738567,0.0,0.0,0.0,0.0,1.6051531843849192,3.9651918056310604
hsa-miR-4758-5p,0.0,2.053778615680667,0.0,1.588365975491324,0.0,1.1437080536165574,1.279498820613131,3.0109719406323983,1.4755300515830443,1.2211511662589414,1.3611950114298141,1.246947128251047,0.0,0.7830606728084394,0.0,0.8200713039900641,0.0,0.0,1.1206675910676218,1.05446343606757,1.7326786831978425,1.4521161473314155,1.5008562258683644,0.9547211278656094,0.0,0.0,1.029652736929644,1.5757210467334273,0.0,0.0,2.0886165739201057,0.0,1.2089709987056054,8.227039956747017,1.1430943964912312,0.6800562231027918,1.091414033350827,2.227619680386863,1.3371218138396024,1.7465173751935925,2.1514543117217633,4.314290275898366,4.139653185530855,0.0,0.0,0.0,1.1444050227978322,0.8274123228732266,1.0903806053495193,0.0,2.2604568395909523,1.227763714864973,1.3826402661209134,1.0332830553882641,0.0,1.644660042841882,0.0,1.5488700937022972,2.014775448754805,0.0,0.0,0.0,0.0,0.0,1.452035768761405,6.032424180976058
hsa-miR-6717-5p,2.303406827529107,3.09247579693576,2.824447140656352,3.082501450393578,2.720169312311782,2.598801812266061,4.161293668372191,3.8784104197037137,2.298038729552243,1.774246846769495,2.86312876634734,2.4580459209871006,1.5516469144287983,2.1398991682114405,1.5102899817194686,1.6639810125524217,1.8640723941834514,2.380112233153999,2.841167532222543,3.038354630310025,3.5016192735366007,2.9441745050544563,3.415950460260313,2.0342425945603804,2.395949470618833,1.3846319557433642,2.0073552226931275,3.007734105710304,2.0262789143420683,2.5267227487912223,3.0509572022094313,4.396582763017784,2.2754499358370746,10.228037015094124,1.8184218860590768,1.769267669507373,1.993229942588367,5.27638351938697,2.9213513506898354,3.5996844223424884,3.2536913680940267,5.19789893492107,5.8617746222891,1.509030903483871,2.585869662722655,3.262470390840574,3.0467174939226824,2.7508846653429924,2.4036352295635757,2.7611955676143767,3.992130781329058,3.144985009905122,3.3484357724010123,2.374818546289062,4.358698935749977,3.435059259786823,1.8500312808249835,3.059473269687561,2.7122552987649096,1.6220099775110761,1.3523449112659274,2.111724477465331,2.9723566451368173,2.096430400855669,2.7698773931989815,6.608384284232945
hsa-miR-8066,1.224552530417458,1.6328637590738455,0.0,1.6408940988108751,1.0826346660559574,1.0700656592485491,2.2289196306102093,1.9662461576980506,1.5650822683206635,0.0,1.7076585320697035,0.0,0.0,0.0,0.0,0.0,0.0,1.33877910507633,1.3033977123522762,1.501213665526131,0.0,1.636037724511322,0.0,0.0,0.0,0.0,1.029652736929644,1.7272605098782046,0.9602900257875113,0.7196429220705286,0.0,5.050283751361059,0.0,7.494570931375686,0.0,1.1071661756720141,0.0,2.4865875627350995,1.7434770773038613,2.513731184779892,2.195493852979479,2.4814720059889663,2.747445710648854,0.0,1.3025374665760743,0.0,0.0,0.0,0.0,0.0,2.5366697205145967,2.47047913931964,0.0,0.0,1.7047757287471634,1.9799226351460677,0.0,1.5029265254180042,2.061223830042322,1.8386550522882088,1.114334315063952,2.6461520189141647,0.0,0.0,1.0151694419301684,2.803295248678566
