TE,N58,N60,N70,N82,N83,N84,N85,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
HERV-K14CI,2.5839993103905243,3.9237400650628267,3.3822642707832804,4.466434592299206,3.1731779997783867,2.70802961728958,3.6063530712159384,2.08790213736849,4.305403367696897,3.768616676994875,4.637972324738251,4.723148032601706,5.612011229931544,4.215552036301427,2.8462935193319123,2.784578907342947,2.9346582702868744,2.561580163376884,2.282875394061497,2.9602949049547234,2.346483301725041,1.6705607018025708,3.085617052165935,4.489317963147229,4.755815351825222,2.959791775631119,3.792795535061814,4.568955406557713,2.7119487960633566,2.411238360510974,2.132182820594136,2.2526445345785335,6.435916231353834,7.35650901096451,3.75131676778637,3.7834852121974354,3.3404987789740335,5.31950095473372,2.8915859595249107,1.8344456681548755,6.745917443962906,4.347916080723572,8.132619874608665,3.8376952965367015,2.341651937035421,3.3391659498023802,3.625275347445294,4.479783157554835,3.7812629452282223,3.6880035446442427,4.151038193664948,4.364928372262474,2.277847626824222,4.15171598225223,1.8281204053787519,6.602829551327668,3.943478858000713,4.597205308617491,4.062437241906496,5.606827809728795,5.099780723958648,2.8344132190931006,3.47756301048865,4.013689420665282,3.5940336596208082,3.26458650971678
MER67D,1.748082018109255,1.8804436590571048,2.522530909436906,1.7649205775332817,2.0613523241972627,0.8138219197508868,2.1170605955414508,0.805821213771584,2.089397800267014,1.8401707394504832,1.9395366581854327,2.9110813346930566,2.6442039045212353,2.8263421623631366,2.564697939055803,2.0969232169933587,1.267614753317294,1.5713597591373676,0.8881592178133538,0.8352550685050493,1.68880268361066,0.43556146935905515,1.2175648968367956,1.5842337586932556,2.2950360734777435,3.3238766545323464,1.73652209021052,3.0906652817219236,1.691452691868079,0.7794815686579322,1.841788759950936,1.769974946377262,3.514083826629496,4.62210250305239,1.2008416143351623,2.78479384629118,1.243883080289345,1.9200570739359504,2.5348385916914467,0.8917674410871173,3.5067292664849163,1.7052225026174237,4.562983174397757,2.6633719502999624,0.2750169579145458,1.3257973016216507,2.1926437261328102,3.2196952642936267,0.5881228587220036,3.260879184595473,1.4166375703376282,2.8329159939760524,2.187812115688413,0.798008239470629,1.4975155280683459,3.541159095642429,1.4055915858700263,1.2031661732558285,1.3228239013908676,1.636373793816205,2.067949511854877,1.5948563493443595,1.6550738606600026,1.6905292641098466,1.9937029618642315,1.2925484255446555
MIR3,3.449017699630033,2.888112887305306,2.0755186616061763,1.8633074051335625,1.538172662300643,2.2347762948306307,2.2579672937625586,4.683058576402864,2.4953992594923284,2.79269990981128,2.892948279998794,2.7220880134520207,3.1184320536528207,1.969459429465929,2.564697939055803,4.462810284906293,2.89431101867469,3.2296416018349317,2.1385695478005733,3.814503345707818,3.8172388221937212,3.8821584042399335,4.869146355125528,4.623340617538015,2.82082726949241,2.645674927289656,3.8801718186516236,2.402797844138845,3.242364094505604,5.3429598370970774,0.7977727176942118,4.376147189966033,2.460370882078847,3.425920840788766,2.4916737575312866,2.8612515310543425,1.4385265909373988,1.4738038134483555,1.6589216745038728,1.3608255455761502,3.6982966540594107,4.072581361373473,3.8552282688243342,2.9714742350683356,1.4222687961880633,4.637336760578465,2.0431540931914376,2.6535041840918905,2.46717653765054,1.2021725763589084,2.212711775924993,3.3058325788257554,5.069398873190888,2.4163036227759,2.3513487670192688,3.8235122657478664,3.0455974228035783,2.7610410526666196,3.4073443066669724,3.085564906044938,1.3279975050142425,2.7151159025937326,3.3412629157755016,4.115769078562481,2.9913769836810378,4.103188470607608
HERVK11DI,4.594049916800686,6.198975713473838,4.4818624754522345,4.527752382923877,4.886737949695002,4.08455047566108,4.693326497940097,3.803063581826428,5.790711922512549,5.363506202004009,5.254235100496901,5.36061917029741,5.4542118655413665,4.577977060364646,4.856824409398637,4.205859407974147,4.7619170731630005,4.230564188727356,4.93004839620674,4.57011873550717,4.36706816733023,4.46450485481677,4.017202122323654,5.263440041829511,5.1554000822648804,5.314267341646371,4.311790060182261,5.333377595645843,3.9550725408339216,4.065493294139634,4.071671238110626,4.003259572851,6.429067533024381,7.4547612684679905,4.316865493754978,4.322620559783258,4.074064941787247,5.763442830535039,4.839175960240371,3.3193581374698393,6.761270510413052,4.174753132543746,7.726508089440096,5.196094540600024,5.739397861826333,3.9453410953994865,5.197310891309408,4.9350234182959625,5.58167443099543,5.398718283129556,5.924065290377777,4.882002851956551,4.801781289396718,4.147704214526319,4.020498981157699,7.005446462130757,4.5914723160257855,6.376756979395068,6.526738897163985,6.700156479255933,4.826894378741149,4.609550051926037,5.046255986464124,4.5977861249502405,4.5227149510411175,4.731231671211688
MER41G,2.7086810957507486,3.2022394377852796,1.7863842130558318,2.650033003426894,2.9968048230348425,2.4457999075589085,2.6131561935179297,1.6979613783224865,2.563577077694988,2.133611127012198,2.313290580643072,2.5257006459416456,3.861880278054569,2.097860287559627,2.302479604437012,0.8747781138891425,1.8536656729368806,0.7986250389356948,3.3246117357655285,1.7452448018582547,1.7953469162114597,1.555032717553759,2.25706351494056,2.5059257267125945,3.0345981704586906,1.5864061308917274,2.0179025895620546,2.7113925710090316,1.6754655542620323,1.8824189507329627,1.39205002002062,0.7850433555614539,3.7789984929136073,4.511182042579481,2.2174676702224594,2.0472686213404874,1.6100040173356724,2.6217223764897115,2.273842937240199,2.3602700239554713,3.065699917942551,2.6496572527486473,4.932847734987577,1.9617245347998802,1.9782382389512139,2.2076695968133864,2.1142181056000036,2.533050673578502,2.255401383579923,2.3681394044558104,2.4527033290522846,2.743754458397511,1.9936366716242682,1.549919051759888,1.4975155280683459,3.745925246265383,1.4927356169765622,2.891603319136854,3.088780011365896,3.5678857022462114,2.5933853584073536,0.7157035374315566,2.788859227264777,1.7971287327949028,2.235085957991453,1.7961448070958266
AluYd2,3.7928556862348017,4.784237121786514,4.680353551345099,2.2575171095134277,4.650183691653961,5.091040814275535,3.7845920833890783,2.148702960976134,3.607026466540745,2.8301267401632595,4.686073448823914,3.2366220472014895,4.34395443343529,4.800584045059597,3.8628441579632797,3.7371885019015236,1.7883709107667942,2.6627167431094034,4.474822444781397,1.9879799954469073,2.56431074703095,3.107104914659646,3.4029443007404745,4.2205494082067885,4.250460715849734,2.0598579541458784,4.318256135791395,3.622320868344088,4.278903744600231,1.9807906808678364,3.5984985641846627,3.6505611349671105,5.165125590361958,6.216469515400766,3.1355794833669566,3.8282913535746204,4.1494374820771265,4.928074647009285,3.6433710456491286,3.2751283211302034,3.547028324966366,4.876144407828509,6.07126912239289,4.41390763901806,3.693505968516165,4.167040075564491,4.969537149218039,0.0033982604471682887,3.787144571894048,2.7480326094507066,5.391807944872721,3.744323367431941,0.0009325841290209598,3.1565193686549704,2.9055726710798915,4.638357573030791,3.7896061716737908,3.844245119499585,4.105166230049127,5.164322944740866,2.537934474147061,2.1495602724416694,2.248798118803307,3.9573041902550554,3.569962469650013,3.7596576089710783
LTR43_I,2.6568439487411863,2.0709070026513685,4.119437732804989,2.9920076251913295,2.7916843310829367,2.8311435724369867,1.9608871351336092,1.5825760272276588,2.6909674140989086,2.7326833795372028,2.929208403237355,3.188637158947082,4.4975870841482575,2.3763062077083195,2.302479604437012,1.9701325438039463,3.6394804260039826,1.8919204990841523,1.7579946848866566,1.9543076237477799,1.68880268361066,3.4184624708884948,2.65357493021561,3.025625422241677,2.603653412233922,2.5867668128338233,1.9625299523206026,2.534256017781991,2.15317836273445,1.5706636890735652,1.39205002002062,1.5501048813922031,3.3783423293605734,4.708083957428672,1.9710785197944998,1.8819085827883346,1.344484929098685,3.4298072802356736,1.9549675775754878,2.0973467395597853,3.7731416122409405,2.4650822993431123,4.69027766763811,3.153189184542052,1.5311068364594187,3.104420324752269,3.220930849725042,2.7101581562016137,2.7084486870871616,2.439070047995835,4.382334668464153,3.3708482635119332,2.15095802210827,2.8125027816254278,2.3513487670192688,3.8045031719182805,2.2720297806118492,4.552949681234505,1.888614692024811,3.779365089339944,3.008842712485203,2.1458450529270268,3.0451287179858135,2.3104698775572023,2.186947781260098,2.1283426630368245
MER57F,2.299306164358733,2.4859849374490026,1.909073876591072,2.41071969806299,1.8233494378874868,2.4457999075589085,2.446465105880908,2.0847250825798183,3.0169778919613455,2.9057252291368174,2.65387145679591,3.3557418010227265,4.156442951697607,2.035087857964728,2.4395380556595088,1.2980838013977718,2.269247073891949,2.8403668159295963,1.6049971263923728,1.8535598497771508,1.7953469162114597,2.434418307081094,2.4016846980591295,2.5059257267125945,2.0368086498956073,2.1716090962598393,1.8449696448678277,2.534256017781991,2.3872847785493443,2.196156814734567,1.2198019503524786,0.3115589552505461,3.4831078051195186,4.605408290447098,2.4916737575312866,2.510921571983671,0.8915899274098384,2.662797411854264,2.273842937240199,1.4387695916895693,4.117551103741375,1.9119563073242485,4.622679662615215,3.2758741540983345,2.5945961976758696,2.4176883969679404,2.726530617238996,3.4366792541229847,2.0071010947620658,3.0044364209042906,2.6900117101619885,2.88398930645948,1.9936366716242682,3.506276717834469,2.693917645675773,4.5498933870523866,2.3876885127129057,3.535376501203601,3.088780011365896,3.4492567426222465,3.1789076383789867,2.8497479711275067,2.251397345291099,2.2366206544883247,2.235085957991453,2.1283426630368245
LTR43B,1.9833720923381144,1.400567532269575,2.5952979050245473,2.817365933483991,3.1961212294658536,3.042380796514137,2.155646170505528,2.5455360209273867,2.4519050439294667,2.3157768093890985,3.008356950845654,3.0811880779147605,3.248762363807224,2.739753674793086,1.9137260079036402,2.090611335708465,2.1435678753219807,1.9087808252204028,1.5328843031339643,2.158186056282173,1.3688045837016263,2.375553565719953,2.38175262061542,3.229414712563209,2.4918257432361433,1.93877477668574,2.483403277541409,2.3453709147735977,2.871344750194207,2.1475244597343295,2.411933402450284,1.8806395005385799,3.467060249892405,4.7811955143299505,2.737997593167318,2.841201961827071,1.5332030493757727,3.29785122175818,0.9817573372306363,1.5658969673975716,3.0637175477182486,2.5978709424015416,4.734102186219449,3.5640804094043093,2.0531546790962425,2.401250793806692,3.010426856447499,3.0289594917535907,1.3276117641306686,2.9868026818407887,2.3114192643455365,1.8543231762011272,2.173730600102143,2.0546109649476727,0.0,3.1693210263441824,1.4341930521307305,2.2980522240294325,2.6957680332146645,3.0189628856877837,2.353103535217733,2.5898314434667715,2.282291938261394,1.7716548141618051,1.7709089577301191,2.390224303558328
LTR47B2,2.8070815837660685,3.2933918463655383,2.0221426078615377,2.41071969806299,2.444477032100803,1.9875091973384367,1.8759661747525664,2.16714039828486,3.3226223722844783,2.223573972963624,2.9991040603259886,2.4538116799309013,3.932731538231841,2.565867736681014,2.9330098228490957,2.044909075885879,2.384849777968708,1.984687862152419,1.8963113522947805,2.2989111355010965,1.5737581455302199,2.0607162169279976,2.9169167978429873,2.4419651828128974,2.791733279864954,2.702271771283938,1.8449696448678277,2.402797844138845,2.511444986301052,1.7349459745238753,1.8117224637685116,1.5501048813922031,4.168133496826033,4.612380013144662,2.29105774433657,2.4531326317228017,2.399471292431524,3.3313348877593296,1.8628743178166332,1.6501301796579102,3.1801375090585022,2.175297155067155,4.618864100752823,2.8183910896385997,2.490617072057032,2.760264126544225,3.283933148194383,2.7101581562016137,2.8661401778122295,3.0504686822315037,3.4682471891273794,2.88398930645948,1.7199065732503593,1.8682955262095442,1.24346822990385,3.9300780780822406,2.3310178601497182,3.12186691958378,3.0369346575441045,3.1779954373377155,2.58307549245445,2.1458450529270268,2.545013147861592,2.158786299837089,1.1609002821410332,2.458434253879221
