STRAND,circRNA_ID,GENE_ID,GENE_TYPE,GENE_NAME,N54,N58,N60,N70,N82,N83,N84,N85,N86,N87,NV1428,NV911,NV912,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1422,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V2241,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
+,hsa_circ_0001387,ENSG00000109685,protein_coding,NSD2,9.162363348442645,8.455021553603327,9.505942047053676,9.279107378515205,9.681506039394202,9.18459956795914,8.897165132845815,9.678655688199665,10.004853664559809,10.33587432580538,9.285909323087264,8.982992134851168,9.209280905070056,0.0,0.0,7.739430102538226,9.362010038376438,8.230172860157705,9.111806907091937,7.540116236217937,9.529046287318959,6.082522919617362,10.06070688594516,7.321257649679078,10.090399281156163,11.346623546084974,10.016946528332726,8.645445102752364,10.0781270678759,10.295412916235827,8.54674159153879,9.912503002759765,8.260544087210523,10.103455108702143,9.659557921913198,8.623412170532518,9.973397549881831,8.86375498399036,10.534035708044158,9.37532180143402,9.60306812751051,9.557178575399238,11.650577699920875,9.542618861330988,9.734117078783813,8.643291099083491,11.70274563945766,9.67085318899075,0.0,0.0,7.833635683227869,8.322064009965004,9.550509557908791,10.224354327699064,9.897214036170226,8.40907523071249,9.840056102589648,8.375109912208043,9.905513114724583,8.765796929376528,8.91081478459077,9.313225611869749,0.0,10.292146037167637,10.203797812284039,8.73283973727827,13.10501207848857,9.115766758814134,11.047649233425028,9.110548235114905,10.052833761692236,10.504202071221451,10.06196143344746,9.189208274821361
-,hsa_circ_0002484,ENSG00000196323,protein_coding,ZBTB44,11.674857805416284,11.309454125371396,10.867299006877072,11.574936914847369,11.573306364225576,11.767494478356747,11.557579728778643,12.083219099610474,11.512956224467422,11.854521433124317,11.762059004233674,11.746092941431144,11.962090713612454,11.381170418758863,11.908981568061842,11.318190792659543,11.862703705236479,11.962687458973607,11.569103424381701,11.869013194968622,11.775431334839778,11.968326089796967,11.545265062361588,11.560613505636558,11.951936038306862,12.371876757018537,11.685842801846444,11.286271789232627,12.034067155060567,11.46469999220834,11.82867744750649,11.6769806755306,12.063524023552501,11.147173505879442,12.050430554014225,15.02918339583457,11.467236072260397,11.183203479235422,10.534035708044158,10.859351468396538,10.187412135191957,11.614616101887911,12.376225314120669,11.656607263729667,11.247588731432447,11.340674531694168,12.540803827116985,11.942467257420997,12.22713108204627,11.483611961967231,11.2202197064799,11.961766869520464,11.664506085194017,11.223751215686608,14.257230457387651,11.312282866553053,10.746211947748916,11.03441111477786,11.948767205821222,11.425968153451604,11.265952187691568,11.751946928046303,12.041646531105043,10.739298150959078,11.08459399436793,11.859116166095522,12.895584298069556,9.752267633665308,12.285416282389706,12.077896053977515,11.52589542741561,11.72602676230743,11.168153427385981,10.64706631140882
+,hsa_circ_0007848,ENSG00000270106,protein_coding,TSNAX-DISC1,10.440989423795319,10.539337172071399,10.157297010274467,9.279107378515205,9.873931486210521,10.405574532425485,10.011012074761455,10.525869987030648,10.696196355746387,9.751469848401115,10.177927017502961,9.467604109426384,10.667160695451159,11.229227421830787,11.34973185478489,9.319884841252762,11.023474176755753,11.03340377490926,11.109849851593923,11.093719298971116,11.112706369601144,12.476366102968534,10.06070688594516,11.912495428263153,10.215819883168333,10.539684055347148,8.559949605502814,10.450224321561073,10.449792491788488,8.298852847969293,11.003013303142584,9.590949102448851,10.257011475908335,10.626617891191488,10.466148135027357,10.428151715175446,10.90559981029553,11.81101570889821,0.0,11.958472908571508,9.60306812751051,9.971737236033372,10.410181397878238,10.126936397504533,8.513981557423596,10.225846158522325,10.302917343363783,10.544517565988098,0.0,11.898523504379904,10.828091245245268,10.640381191923195,10.37974260033041,9.983565479158262,10.04906582958557,10.31285008807203,9.425543196051903,10.956446815461405,10.904760797156655,9.180005587164787,10.952936319215379,10.6744091169844,10.627179249476793,11.154124643933624,10.655980635183651,10.430929927668174,10.012269801412577,10.114465927163076,10.222205193025685,10.845685731547109,10.789255965645037,10.241366318205635,10.531071764237758,8.774994348335584
-,hsa_circ_0002711,ENSG00000180530,protein_coding,NRIP1,11.160473730569624,11.309454125371396,11.220768058279093,12.433548693247044,11.396490353469025,10.845867197953286,10.217276517671932,10.67777522465332,11.473441573038789,10.598722675892319,11.000507670089984,9.981565840635694,9.793430751553823,9.06140422291614,10.424229866767487,9.904094677056882,10.235482246049832,10.341949588332705,8.114412191568853,13.123466975065678,9.8505837801168,7.653222566339662,10.908103299636336,8.637762944560345,11.437518922389737,9.710362682293207,10.142361369970775,10.343388438660023,12.449018651595269,11.2948387960079,0.0,10.397502060108176,9.258189974383853,10.19084080736866,9.981129203068475,10.08051395616575,10.098808835189615,11.12978763264759,10.534035708044158,10.052578860869012,11.601676145114412,9.294527126085054,11.53513787756744,8.958623267125434,12.991333534428785,10.810407028166722,8.661485983529118,11.544034505882587,0.0,12.48336003723706,9.998633348642919,9.64128476779632,10.080432180903507,10.331183388191537,11.533616966398531,13.262952595769061,11.36259112951221,10.10903061713554,0.0,10.17876143141251,6.9197792268869645,11.50409784338526,0.0,9.418635446217516,10.203797812284039,10.537770480701806,12.143641346506707,12.64390406946493,13.253566127542353,9.524933108233618,7.887654714490084,9.727303841339834,10.44866695603658,11.357209776107696
-,hsa_circ_0005542,ENSG00000068784,protein_coding,SRBD1,9.35469366189715,10.91108560689185,10.398110735245101,9.279107378515205,11.332384341604163,9.768735388095536,10.894893887592886,10.525869987030648,10.004853664559809,10.129595170809996,10.062553580723437,9.981565840635694,10.667160695451159,11.582733728648945,9.425279435011282,10.82092376747196,11.023474176755753,10.226564998917935,10.432169570022479,9.119901940661999,10.697886021729987,12.25776724389433,11.438386990972116,11.704957926572595,11.022654799884386,10.931770697716997,10.016946528332726,10.228003756913111,12.54415941544015,11.46469999220834,9.544811359786497,10.04987043168767,10.900443170456539,9.104765901910259,10.118502954487408,10.08051395616575,10.68333272955616,10.20979683836899,9.686816993320386,9.860127835550701,10.187412135191957,10.671624250487598,11.6643792256623,10.76390545256179,10.385577643943007,10.547533288181063,10.41386405653608,10.2552255902665,9.955265627568151,10.898901341992596,11.734611452939681,10.318679044064611,11.237238106792933,10.331183388191537,8.72917894750997,10.31285008807203,9.840056102589648,10.786612565089271,10.364534426958897,8.765796929376528,11.193832445113491,11.027854148050883,11.04198868873975,11.876341257522977,10.655980635183651,11.373844671114156,11.21792885636514,9.94470359383556,10.406484824510699,9.524933108233618,10.052833761692236,9.727303841339834,9.170033019777232,9.189208274821361
+,hsa_circ_0004658,ENSG00000132205,protein_coding,EMILIN2,7.943324148810913,10.259436973622602,9.283880299545292,9.394405960167818,0.0,8.187076771323843,9.119125211622059,9.526848180369967,9.474962879560737,10.014225269556352,9.93714533886319,9.659994451518966,9.530721462348149,9.86760138767406,8.106495471218993,10.640457856438461,9.94624153894971,11.284832406841362,9.695899933106078,7.540116236217937,8.530997713037683,11.031391204809108,0.0,10.804868078575183,10.952300144847547,9.348284554092702,8.881112952930781,10.890525518593106,0.0,8.298852847969293,8.132989480183937,9.590949102448851,9.716978895014744,10.273234392911961,9.82928470439936,9.791303399417664,10.83524808572667,6.418192257784743,0.0,0.0,11.77154956585175,0.0,10.705440930244322,9.542618861330988,0.0,8.964497383311308,8.469349806009275,9.408172727003318,0.0,0.0,10.1504954134823,8.322064009965004,10.838878871200457,7.5305322543754585,9.050426958968748,7.413313149522332,8.427639661570584,10.10903061713554,10.227140329660173,8.182490684471889,10.766623577725584,8.507570575249634,0.0,0.0,10.043477048025867,9.731143240034895,10.31156813128078,0.0,9.932966944149884,9.846469485669457,11.34153757117531,7.924197703270793,8.94805795329462,9.189208274821361
-,hsa_circ_0000551,ENSG00000100678,protein_coding,SLC8A3,10.161103878232854,10.699699795049177,10.697470540934448,10.780104387040216,0.0,9.768735388095536,9.77025816537875,9.357167623665365,8.628586933721074,10.129595170809996,9.93714533886319,9.467604109426384,8.211716124831712,8.647266559637972,0.0,10.733510771545127,10.098098387907756,9.449817253556574,0.0,11.420395798035537,7.534892663639163,7.941425541076598,10.738272141681302,10.400738714826334,0.0,9.348284554092702,9.558036976230547,9.229206180860249,9.897732759922942,9.618029653950881,7.550594324704868,9.176535045199161,11.87092709454309,8.428265378209234,10.359311381454601,8.792930646760071,10.098808835189615,8.574936388817074,0.0,8.056648494727286,9.60306812751051,8.973173275443324,10.120910366805855,0.0,11.247588731432447,8.229455815623297,7.252374515517614,9.086775385123346,8.956718148253062,10.898901341992596,8.416488528826296,9.90401804454798,7.969389754457901,8.847770970328824,7.73257456410009,11.897056243865201,10.424493819747912,9.59501719167065,0.0,0.0,6.9197792268869645,9.505587180741683,0.0,8.420741966523686,9.956099645320613,10.817707127389806,9.120381894815589,8.269848746306831,11.97137798720416,10.430909530954112,8.884605536719723,10.619602876427296,0.0,0.0
+,hsa_circ_0005881,ENSG00000109685,protein_coding,NSD2,9.162363348442645,9.26061349324636,7.703539291813925,8.864843712067898,0.0,9.18459956795914,9.632919841194248,9.678655688199665,9.305291273314445,9.237613817116257,8.066595213626705,8.982992134851168,9.209280905070056,9.645466326041708,9.910106602400521,8.736050602160825,9.099414054909744,9.22776862210547,0.0,7.540116236217937,8.117259699363636,7.2926986909010205,8.740803611171732,8.31674006635751,9.439078563777764,11.397230515987626,8.881112952930781,10.228003756913111,10.312392115376756,9.88075803688652,8.867897903600458,9.590949102448851,7.847073865123273,9.104765901910259,9.82928470439936,8.431289599602247,9.514503994080634,7.729962887177085,10.171743602502401,0.0,0.0,10.141502589269988,10.92770991717213,8.958623267125434,8.928032097365346,9.641485894850618,10.466293707321128,9.67085318899075,8.373206707274337,0.0,8.830470042557913,10.126195335194543,9.70232024755281,9.110283391916543,8.315274208674813,7.995451754698366,8.427639661570584,9.110336356652764,10.364534426958897,9.764138769944607,8.71859785031036,7.511529202742434,0.0,9.6407266848395,9.278898924474229,8.318932128869413,12.193383573491975,7.949088714218498,10.517437398145056,9.524933108233618,7.887654714490084,9.727303841339834,8.94805795329462,9.510642000270005
-,hsa_circ_0001776,ENSG00000117868,protein_coding,ESYT2,12.844537642948287,12.679943131405848,11.982360305206935,12.800547577488091,12.981096032255063,13.006721841426655,12.518872717049717,12.969855812533009,12.842364380699632,12.71348407058495,12.761851301011324,12.27321136745147,12.988378826802414,12.61352042383329,13.441231154443573,12.732875114633222,12.389832115410595,13.195140560021077,13.753157589753302,12.233083482720703,13.830971970486923,14.58991357919805,13.518909956367189,13.289632300787808,13.316285719359351,12.030912420750449,13.270513332710683,12.851486413392374,12.884337580468133,12.616422309060393,12.672382583553436,12.566594923631083,13.595798549839731,12.102471231642353,13.330338388140616,13.723143808852349,13.142046340951968,12.924970678742588,12.720903094936858,14.37321584145742,13.555527994541785,13.057931795539702,13.021325064575915,13.801311712645965,8.513981557423596,12.943642314760705,10.906597910772142,12.66930366285991,12.860896187900394,12.48336003723706,13.366592851184464,12.272036985947706,12.854587593065459,11.949337743054222,13.935320781148475,12.652976357728294,13.42357498893013,13.500165637359315,13.170951067386765,12.792429422132855,13.308835831860486,12.96321334422353,13.796293207020172,11.002191889352446,12.3299661708397,13.536921054927175,13.310574464353266,13.07268940360232,13.245529633755245,13.237368374702653,13.30795692167594,12.699822469534675,11.48995612900271,12.141250447456741
-,hsa_circ_0071185,ENSG00000198589,protein_coding,LRBA,9.813524175745203,10.037240705530886,9.505942047053676,10.44774173548196,8.875468202401668,9.599017101212779,9.119125211622059,9.526848180369967,8.628586933721074,9.429960129402643,9.285909323087264,8.247926075494973,10.377851228361259,0.0,9.687964069597665,9.734357878659935,10.098098387907756,9.811928818952879,9.695899933106078,11.620265248196917,9.114659556606828,8.181530428316146,8.740803611171732,9.837348132780862,8.63328159886127,8.863742816538164,8.559949605502814,9.643642593436567,8.799924482775827,8.88228750265764,8.132989480183937,9.760666229997643,9.065881433547823,0.0,8.24749044349602,9.708937010481597,9.32214067850893,10.828281654098808,10.171743602502401,10.37423523822476,0.0,0.0,10.56535143316544,7.961520104568098,9.512006963100305,9.811210178541504,9.245260351367145,9.086775385123346,8.956718148253062,0.0,9.636466132184209,9.319808248714255,9.965065999564434,8.847770970328824,8.315274208674813,11.405356812193766,9.647635873465564,8.78906068862179,10.364534426958897,9.764138769944607,10.432420556082661,10.089887943554896,0.0,9.833145834476431,8.957551326972462,8.318932128869413,9.312702913222886,10.336672419621095,10.971737220517737,9.110548235114905,8.884605536719723,9.919736151266603,9.683854649480612,9.189208274821361
