TE,N54,N58,N60,N70,N82,N83,N84,N85,N86,N87,NV1428,NV911,NV912,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1422,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V2241,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
HERV-K14CI,3.937487139090356,2.584002083824097,3.9237438402158573,3.382266667004499,4.466435913840669,3.1731790854266424,2.7080323349821684,3.6063536606073128,3.010747301442151,3.0372108812457643,2.4565464085003152,1.6948013113913338,3.715959824798253,2.0879026876713165,4.305413085553737,3.7686208289614216,4.637975728066119,4.723149975305753,5.612023123854598,4.215554275474978,2.8462947406268992,2.784583020342163,2.713055397658559,2.9346607919668366,2.5615807541014775,2.282878709866301,2.9602962195694844,2.3464847336959216,1.6705629685919114,3.085617372913579,4.489323395910664,4.755818095508531,2.959795238297621,3.7927985970590203,4.568957149506577,2.7119499456859137,2.4112404589611947,2.132183971812009,2.252647282436613,6.435919582096478,7.356513056877522,3.751318068007954,3.7834903025259337,3.340501225413798,5.319504205021616,2.8915886530810213,1.8344465562508947,6.745920736940098,4.347916769937837,8.132623272376001,3.83769670920968,2.780901818671241,2.3416577739768027,3.3391685378708926,3.6252803135046463,4.479788366481165,3.7812700147190186,3.6880087380396973,4.151041049227417,4.36493087520119,2.27785051682596,4.151719263549265,1.8281251301782757,6.6028351081187235,3.943481849082777,4.597210637079519,4.062450276370729,5.60683997953236,5.0997895393932104,2.8344158747800785,3.477566891484381,4.013691765659224,3.594035908385954,3.2645894155596484
MER67D,1.3219331472792368,1.7480843557697567,1.880446602853007,2.5225330985732795,1.7649215544091181,2.0613532526642944,0.8138233031339833,2.11706108963731,1.1141593897140987,1.6757290322256517,1.6828114763740587,1.277496938549502,2.6654540124981265,0.805821521716847,2.0894056306692543,1.8401739687632903,1.9395392795489326,2.911083085404838,2.644214104432262,2.8263441952600368,2.564699117835115,2.09692690359099,2.1728770555469783,1.267616449470852,1.571360231020682,0.8881611363062589,0.8352557314843416,1.6888039131682298,0.435562330620222,1.2175651040722808,1.5842375483479596,2.2950383420681484,3.3238802311064446,1.7365243999839173,3.0906668877365946,1.6914536285030166,0.7794826473987476,1.8417898353098088,1.769977404292223,3.514086919810374,4.622106408501261,1.2008424078577304,2.78479853873547,1.2438846485812638,1.9200595267795917,2.5348411675627025,0.8917680100882606,3.5067322980006814,1.705223005145505,4.562986440054343,2.663373229448604,2.3085024329731696,0.27501821995243675,1.325799027803902,2.1926479479936134,3.2197001322480894,0.5881254111814603,3.260884227475902,1.4166394627724341,2.8329182553815135,2.1878149573452794,0.7980097166632475,1.4975197758201515,3.54116422789596,1.4055935773708872,1.2031693173539248,1.3228322234150771,1.6363822219890969,2.0679564264703187,1.5948584155389547,1.6550767705925507,1.6905309894066542,1.9937047980342149,1.2925503448507045
MIR3,3.531939382424832,3.4490207234056895,2.88811638284043,2.0755206832029605,1.8633084088583793,1.53817346289132,2.2347788218741615,2.2579678016315903,2.6347130500153733,2.198966575645803,1.8689379869712974,2.522876148873842,1.6563801926318702,4.683059267951395,2.4954076798426685,2.792703743901055,2.8929513483802003,2.722089726590922,3.1184427976888385,1.9694611917251452,2.564699117835115,4.4628148779823755,2.256756210661612,2.8943135295931737,3.2296422372111424,2.1385727733891757,3.8145047469251687,3.8172404781888014,3.8821614850865602,4.86914670626113,4.62334607275927,2.820829715395111,2.6456782657261555,3.88017489464202,2.402799319666849,3.2423653078297336,5.342962357705209,0.7977733512001641,4.3761505000922805,2.460373656032825,3.4259245327769006,2.491674912326013,2.8612562646108066,1.4385283038821703,1.4738059469576426,1.6589238017316723,1.3608262991988769,3.698299721937797,4.07258204310334,3.855231443126199,2.9714755603219722,2.8010820955656284,1.422273354506586,4.637339517026075,2.043158185991817,2.653508770708111,2.4671827828927344,1.2021757595847846,2.2127141490387863,3.305834943420489,5.069402405501711,2.4163064483394523,2.3513540552704915,3.823517483731283,3.0456002343770456,2.7610457908434416,3.407356864223528,3.0855758671481106,1.3280029684064507,2.715118520949425,3.341266758844907,4.115771434128167,2.99137912716994,4.103191525217912
HERVK11DI,5.267926955629954,4.5940531075457605,6.198979699916152,4.481865007243645,4.527753707070705,4.886739129432622,4.084553495286219,4.693327115234651,4.202178747958262,4.441282226262077,4.743910090201424,4.364580395558657,4.907907627628837,3.8030642498355594,5.790721973142259,5.363510573896554,5.254238553332001,5.360621140305285,5.454223730769189,4.577979327835394,4.856825778992227,4.205863958515606,4.636122808878589,4.761919867358419,4.230564862036489,4.930052432692447,4.570120180435687,4.367069863396573,4.46450801010622,4.017202463445543,5.263445579715459,5.155402851460412,5.314271215158052,4.31179319412334,5.333379370127041,3.95507381004382,4.06549572407071,4.071672640845758,4.003262833584473,6.429070883580711,7.454765316016339,4.316866827799965,4.322625774404083,4.074067495035319,5.763446102936049,4.839178964541951,3.3193592479856346,6.761273803718069,4.174753817218863,7.726511483257309,5.196096018075139,4.596737499369681,5.739404997205044,3.9453437808202647,5.1973161480027175,4.935028693361356,5.581681895799417,5.398723779909406,5.924068266425307,4.882005393350395,4.801784799607598,4.147707495278643,4.0205051530072415,7.005452032988467,4.591475382342407,6.376762470601722,6.526752611073895,6.700168784522267,4.82690313903955,4.609553014139532,5.046260121195488,4.597788521468572,4.522717296179658,4.7312347924284355
MER41G,3.531939382424832,2.708683915145636,3.2022430401362123,1.7863860951155033,2.6500341670615044,2.9968058910806645,2.445802527367235,2.613156730683451,2.3442021032202853,1.763129177560816,2.4385749707790425,1.8523972274764586,1.5276786102778512,1.6979618760983157,2.5635855818303455,2.1336145866431884,2.3132934129747538,2.525702314456194,3.8618915851116444,2.0978621012777623,2.3024807354252363,0.8747803013884686,1.659704657223387,1.8536677713525167,0.7986253412663904,3.3246154925864615,1.7452458603487278,1.7953481851288304,1.5550348977868746,2.2570638024574734,2.505930411611771,3.034600671894919,1.5864087811341228,2.0179050748198706,2.711394112798009,1.675466486216326,1.882420834082902,1.3920509431828836,0.7850448149878961,3.7790016358692564,4.511185934817771,2.2174687727430653,2.0472727822754173,1.6100058425116366,2.6217251686125205,2.273845406584663,2.36027101774976,3.065702844893122,2.6496578620524875,4.932851033268021,1.9617256637722653,2.128998990071544,1.9782436649427046,2.207671846948407,2.1142222614214297,2.5330551847240548,2.2554074108235405,2.3681439441462713,2.452705802202655,2.7437566962657516,1.993639398157048,1.549921341205791,1.4975197758201515,3.745930442337522,1.492737679256137,2.8916081282565362,3.0887922460463284,3.5678970792834095,2.5933929340783646,0.7157047454118735,2.788862874066079,1.7971305132526159,2.2350878890092813,1.796147116529305
LTR43_I,4.7962886543947185,2.6568467495085755,2.070910082201096,4.1194402307219695,2.9920088353639454,2.7916853757584166,2.831146330296846,1.9608876123069876,2.581103293792848,2.6751960300796656,2.0337725503126793,2.11206190653047,1.9852593958000384,1.5825765065368274,2.6909760645612577,2.7326871861592497,2.9292114834669065,3.1886389566390547,4.497598688824005,2.376308118461264,2.3024807354252363,1.9701361270878845,1.9888983329346228,3.6394830943314327,1.8919210186479871,1.7579976243734154,1.9543087429355088,1.6888039131682298,3.418465466769524,2.6535752360100613,3.025630409931106,2.6036557926291835,2.5867701248079418,1.962532405695307,2.534257523276854,2.153179414413823,1.5706654033472518,1.3920509431828836,1.550107171438962,3.3783453932682064,4.708087872441458,1.9710795660728417,1.881912582442955,1.3444865745886627,3.429810304650636,1.9549698876926793,2.097347685304966,3.773144693065064,2.465082892882748,4.690280945477992,3.153190532713911,3.441333036220197,1.5311115919316192,3.104422862678314,3.220935674122204,2.7101627761937745,2.7084551446594265,2.4390746400068477,4.382337549256229,3.370850639828494,2.1509608430893308,2.8125057636054454,2.3513540552704915,3.804508384641839,2.2720323173032804,4.5529550025433325,1.8886248120410662,3.7793766092327177,3.008850664624148,2.1458474437251907,3.0451324651986895,2.310471873373346,2.1869496946078724,2.128345164548205
AluYd2,3.932143589017354,3.792858774643211,4.7842410165721185,4.680356098383003,2.2575182041962742,4.650184864037777,5.091043928890956,3.7845926789077344,3.7125518451098904,4.339859857826437,3.1993241856027073,4.152845776174111,3.7841304454771563,2.148703518263873,3.6070358620555343,2.8301305908126055,4.686076856821581,3.2366238521381656,4.343965977712728,4.800586326697977,3.8628454790098856,3.737192952371206,0.0038436370391656868,1.788372972018166,2.6627173419899615,4.474826430478507,1.9879811236143108,2.5643122281172492,3.1071078360844178,3.40294462994436,4.220554789130143,4.2504634152972915,2.0598609745488745,4.318259270475568,3.622322540197871,4.278905031397355,1.9807926104184488,3.598499932491338,3.6505643356422377,5.165128885781669,6.21647353141014,3.1355807280674477,3.828296456092491,4.1494400435287595,4.928077871275917,3.643373909577718,3.2751294277969207,3.5470313645376175,4.876145107955507,6.071272481598527,4.4139090866720405,4.9958764991812,3.6935126779665395,4.1670427875399705,4.969542380721239,0.0033982732773711615,3.7871516436408816,2.748037401609361,5.391810898684578,3.7443258017467174,0.0009325864817038735,3.1565224556373903,2.905578370450043,4.638362962147438,3.789609139353341,3.8442502906084344,4.105179288729923,5.164335023025487,2.5379419908637075,2.149562665034846,2.248801485479835,3.95730652908076,3.56996471499911,3.759660612843699
MER57F,2.4391932619086067,2.299308816689887,2.4859882574952206,1.909075821291156,2.410720821909351,1.8233503138842269,2.445802527367235,2.4464656301923178,2.1369008619662835,1.6757290322256517,1.4690649138517635,1.4122631753429202,1.7745348781841987,2.0847256325095027,3.0169868630199033,2.905729111952725,2.6538744391401075,3.3557436229360333,4.1564544129867365,2.0350896470976183,2.4395392127088966,1.2980866560825999,1.9888983329346228,2.269249373211144,2.840367427822523,1.6049999278341038,1.8535609408113423,1.7953481851288304,2.434421000654018,2.401684992830801,2.505930411611771,2.0368108046936255,2.1716121876935124,1.844972026355804,2.534257523276854,2.3872858759150386,2.1961588350781405,1.2198028014507611,0.31155963070190684,3.4831108918607314,4.60541219397204,2.491674912326013,2.5109260979225287,0.8915911786992685,2.6628002191809443,2.273845406584663,1.4387703705848063,4.117554236197307,1.9119568395273854,4.622682934119279,3.2758755161892137,1.8461889428756448,2.594602265318363,2.417690731328054,2.726535204739887,3.436684203818369,2.007106822123789,3.0044413495258935,2.6900142671470917,2.883991580706501,1.993639398157048,3.5062798887624793,2.6939232063476113,4.549898761912758,2.387691100428723,3.535381579925715,3.0887922460463284,3.44926802986701,3.1789157159585413,2.84975063139309,2.251400713582418,2.2366226238371247,2.2350878890092813,2.128345164548205
LTR43B,1.917456786276587,1.9833745791156274,1.4005700429028853,2.595300116849538,2.8173671212681293,3.1961223172497526,3.042383615787901,2.155646668507714,1.7610712585586237,1.9841976769217677,2.2826105766225018,2.2060030506664265,2.2965801614687202,2.5455366172375937,2.4519134087227616,2.3157803901437832,3.0083600559257744,3.0811898584831625,3.2487732286123197,2.7397556870510935,1.9137270499605248,2.0906150173748563,1.4184469852043817,2.1435701198643207,1.9087813470107196,1.532887034256644,2.1581872267667945,1.3688056759617042,2.3755562338299936,2.3817529144299026,3.2294197922319494,2.4918280858523767,1.9387777136549853,2.4834059875194567,2.345372376328986,2.8713459214754953,2.147526460743912,2.411934613636537,1.8806420337451657,3.4670633332426934,4.781199437038525,2.737998787158103,2.841206684812519,1.533204825931313,3.2978542165433766,0.9817588739527612,1.5658977846923345,3.0637204741229427,2.597871547483999,4.734105468011106,3.5640817998917975,2.33493460154942,2.053160198475308,2.401253122007896,3.0104315897964575,3.0289642769674,1.3276163505257084,2.9868076018340473,2.311421680627379,1.8543250792812755,2.1737334339213135,2.0546136049207697,0.0,3.1693260168005426,1.4341950673347352,2.298056651954826,2.69577975761604,3.0189737776373287,2.3531108382275243,2.5898340191482587,2.282295325525073,1.7716565818060015,1.770910691094937,2.3902269282113084
L1P4c_5end,2.3761241706740677,1.8228958569184597,1.1401820095145392,2.2712282620357604,1.955411845561346,2.0613532526642944,0.8019307806852866,0.9212984496925797,1.370615770673363,1.138224989552802,2.1096263348488926,1.4122631753429202,1.5276786102778512,1.4571541643837715,2.824302048591932,2.905729111952725,2.8929513483802003,2.028234362575276,2.852155837061877,2.1613712099702167,2.0722729488843954,1.2980866560825999,1.659704657223387,1.4904756090733153,1.158598701425159,1.9607981888313253,1.50415431706009,0.5793717896340529,1.86523950154461,1.915379100395922,2.153330494975306,2.1471519915538204,2.5867701248079418,1.8551511121128526,1.7151027687315996,2.3872858759150386,1.655143723257853,1.6170938093602256,2.059891079810642,3.1090898495288815,3.8262458352275877,2.2910588618753867,1.97321554239586,1.3476509893726125,2.2502519163030468,2.343652558414063,1.0980139461160336,3.9221981242533377,2.2646768838584146,3.735525359523926,1.870232886604326,2.0407485508130074,2.1326025180295183,1.4903884529079117,3.434633803652206,2.3311224906060124,1.9138398680974282,2.5712601992012067,3.052953395129599,2.792032195561853,2.078077292832281,2.206337532773146,1.2513038147602484,3.4245829762006372,1.9343760113322988,3.1218718391925164,1.3259982285008403,2.934912936452649,2.7668759019493057,2.856888400740953,1.9838324619495789,1.450326127618744,2.0855689620657714,1.897412618760008
