gene	mean	median	longest_isoform	merged
ENSG00000290825.2	1377	1396	1762	2898
ENSG00000223972.6	632	632	632	632
ENSG00000310526.1	1311	1226	2843	6775
ENSG00000227232.6	1380	1380	1380	1380
ENSG00000278267.1	68	68	68	68
ENSG00000243485.6	553	517	712	1743
ENSG00000284332.1	138	138	138	138
ENSG00000237613.3	1039	1015	1373	1743
ENSG00000308361.1	319	319	319	319
ENSG00000290826.2	1188	1188	1414	1609
ENSG00000268020.3	840	840	840	840
ENSG00000240361.3	939	939	939	939
ENSG00000186092.7	2618	2618	2618	2618
ENSG00000241860.8	1006	861	4860	14586
ENSG00000239945.1	1319	1319	1319	1319
ENSG00000308314.1	659	358	1280	1704
ENSG00000233750.3	3812	3812	3812	3812
ENSG00000308579.1	797	797	797	797
ENSG00000268903.1	755	755	755	755
ENSG00000269981.1	284	284	284	284
ENSG00000239906.1	323	323	323	323
ENSG00000310528.1	1833	1833	1833	1833
ENSG00000222623.1	104	104	104	104
ENSG00000241599.1	457	457	457	457
ENSG00000308415.1	1551	1524	2130	3079
ENSG00000310527.1	1592	1647	3198	7602
ENSG00000279928.2	570	570	570	570
ENSG00000279457.4	1397	1397	1397	1397
ENSG00000273874.1	68	68	68	68
ENSG00000308625.1	569	569	621	637
ENSG00000308544.1	546	546	546	546
ENSG00000292994.2	1659	1149	5603	9218
ENSG00000228463.11	457	457	457	457
ENSG00000306775.1	1135	1135	1135	1135
ENSG00000286448.2	713	728	1208	3435
ENSG00000236679.2	385	385	385	385
ENSG00000236601.3	696	620	1021	1931
ENSG00000290385.2	637	574	1908	8048
ENSG00000269732.1	363	363	363	363
ENSG00000284733.2	939	939	939	939
ENSG00000237094.13	183	183	183	183
ENSG00000233653.3	2477	2477	2477	2477
ENSG00000250575.1	1239	1239	1239	1239
ENSG00000278757.1	104	104	104	104
ENSG00000293331.2	928	906	1702	4585
ENSG00000225880.7	1020	874	6494	23626
ENSG00000235146.3	691	675	1013	1766
ENSG00000225972.1	372	372	372	372
ENSG00000225630.1	1044	1044	1044	1044
ENSG00000237973.1	1543	1543	1543	1543
ENSG00000278791.1	89	89	89	89
ENSG00000229344.1	682	682	682	682
