ensembl_id,mean,median,longest_isoform,merged,gene_name
ENSG00000290825.2,1762,1762,1762,1762,DDX11L16
ENSG00000223972.6,632,632,632,632,DDX11L1
ENSG00000310526.1,2004,1876,2843,4211,WASH7P
ENSG00000227232.6,1380,1380,1380,1380,WASH7P
ENSG00000278267.1,68,68,68,68,MIR6859-1
ENSG00000243485.6,582,535,712,1521,MIR1302-2HG
ENSG00000284332.1,138,138,138,138,MIR1302-2
ENSG00000237613.3,1305,1305,1305,1305,FAM138A
ENSG00000308361.1,319,319,319,319,ENSG00000308361
ENSG00000290826.2,1188,1188,1414,1609,ENSG00000290826
ENSG00000268020.3,840,840,840,840,OR4G4P
ENSG00000240361.3,939,939,939,939,OR4G11P
ENSG00000186092.7,2618,2618,2618,2618,OR4F5
ENSG00000241860.8,1352,1142,4860,9685,ENSG00000241860
ENSG00000239945.1,1319,1319,1319,1319,ENSG00000239945
ENSG00000308314.1,819,819,1280,1537,ENSG00000308314
ENSG00000233750.3,3812,3812,3812,3812,CICP27
ENSG00000308579.1,797,797,797,797,ENSG00000308579
ENSG00000268903.1,755,755,755,755,ENSG00000268903
ENSG00000269981.1,284,284,284,284,ENSG00000269981
ENSG00000239906.1,323,323,323,323,ENSG00000239906
ENSG00000310528.1,1833,1833,1833,1833,ENSG00000310528
ENSG00000222623.1,104,104,104,104,RNU6-1100P
ENSG00000241599.1,457,457,457,457,ENSG00000241599
ENSG00000308415.1,1369,1369,1762,1778,DDX11L2
ENSG00000310527.1,2016,2014,2692,4319,WASH9P
ENSG00000279928.2,570,570,570,570,DDX11L17
ENSG00000279457.4,1397,1397,1397,1397,WASH9P
ENSG00000273874.1,68,68,68,68,MIR6859-2
ENSG00000308625.1,621,621,621,621,ENSG00000308625
ENSG00000308544.1,546,546,546,546,ENSG00000308544
ENSG00000292994.2,3929,3929,5603,7859,ENSG00000292994
ENSG00000228463.11,457,457,457,457,ENSG00000228463
ENSG00000306775.1,1135,1135,1135,1135,ENSG00000306775
ENSG00000286448.2,778,701,1208,2726,ENSG00000286448
ENSG00000236679.2,385,385,385,385,RPL23AP24
ENSG00000236601.3,915,915,1021,1830,ENSG00000236601
ENSG00000290385.2,797,744,1908,5418,ENSG00000290385
ENSG00000269732.1,363,363,363,363,WBP1LP7
ENSG00000284733.2,939,939,939,939,OR4F29
ENSG00000237094.13,183,183,183,183,ENSG00000237094
ENSG00000233653.3,2477,2477,2477,2477,CICP7
ENSG00000250575.1,1239,1239,1239,1239,ENSG00000250575
ENSG00000278757.1,104,104,104,104,U6
ENSG00000293331.2,1138,1016,1702,3513,ENSG00000293331
ENSG00000225880.7,1497,1361,6494,17179,LINC00115
ENSG00000235146.3,869,869,1013,1738,ENSG00000235146
ENSG00000225972.1,372,372,372,372,MTND1P23
ENSG00000225630.1,1044,1044,1044,1044,MTND2P28
ENSG00000237973.1,1543,1543,1543,1543,MTCO1P12
ENSG00000278791.1,89,89,89,89,ENSG00000278791
ENSG00000229344.1,682,682,682,682,MTCO2P12
ENSG00000240409.1,207,207,207,207,MTATP8P1
ENSG00000248527.1,681,681,681,681,MTATP6P1
ENSG00000198744.5,547,547,547,547,MTCO3P12
ENSG00000268663.1,424,424,424,424,WBP1LP6
ENSG00000284662.2,939,939,939,939,OR4F16
ENSG00000230021.11,183,183,183,183,ENSG00000230021
ENSG00000229376.3,2455,2455,2455,2455,CICP3
ENSG00000223181.1,104,104,104,104,RNU6-1199P
ENSG00000229905.1,456,456,456,456,ENSG00000229905
ENSG00000228327.6,417,417,417,417,ENSG00000228327
ENSG00000237491.11,1700,1636,3247,5952,LINC01409
