"","circRNA","miRNAs"
"1","hsa_circ_0007848","hsa-miR-1200"
"2","hsa_circ_0007848","hsa-miR-1228-3p"
"3","hsa_circ_0007848","hsa-miR-1229-3p"
"4","hsa_circ_0007848","hsa-miR-1236-3p"
"5","hsa_circ_0007848","hsa-miR-1244"
"6","hsa_circ_0007848","hsa-miR-1245a"
"7","hsa_circ_0007848","hsa-miR-1289"
"8","hsa_circ_0007848","hsa-miR-1290"
"9","hsa_circ_0007848","hsa-miR-1294"
"10","hsa_circ_0007848","hsa-miR-183-5p"
"11","hsa_circ_0007848","hsa-miR-198"
"12","hsa_circ_0007848","hsa-miR-485-3p"
"13","hsa_circ_0007848","hsa-miR-498-5p"
"14","hsa_circ_0007848","hsa-miR-569"
"15","hsa_circ_0007848","hsa-miR-586"
"16","hsa_circ_0007848","hsa-miR-622"
"17","hsa_circ_0007848","hsa-miR-629-5p"
"18","hsa_circ_0007848","hsa-miR-766-3p"
"19","hsa_circ_0007848","hsa-miR-940"
"20","hsa_circ_0007848","hsa-miR-942-5p"
"21","hsa_circ_0005542","hsa-miR-1205"
"22","hsa_circ_0005542","hsa-miR-1248"
"23","hsa_circ_0005542","hsa-miR-1253"
"24","hsa_circ_0005542","hsa-miR-139-5p"
"25","hsa_circ_0005542","hsa-miR-1825"
"26","hsa_circ_0005542","hsa-miR-203a-3p"
"27","hsa_circ_0005542","hsa-miR-518a-5p"
"28","hsa_circ_0005542","hsa-miR-524-3p"
"29","hsa_circ_0005542","hsa-miR-525-3p"
"30","hsa_circ_0005542","hsa-miR-527"
"31","hsa_circ_0005542","hsa-miR-545-3p"
"32","hsa_circ_0005542","hsa-miR-548p"
"33","hsa_circ_0005542","hsa-miR-618"
"34","hsa_circ_0005542","hsa-miR-671-5p"
"35","hsa_circ_0005542","hsa-miR-892a"
"36","hsa_circ_0005542","hsa-miR-942-5p"
"37","hsa_circ_0006291","hsa-miR-1225-5p"
"38","hsa_circ_0006291","hsa-miR-1257"
"39","hsa_circ_0006291","hsa-miR-1261"
"40","hsa_circ_0006291","hsa-miR-1265"
"41","hsa_circ_0006291","hsa-miR-1283"
"42","hsa_circ_0006291","hsa-miR-1288-3p"
